row_index,disease_cohort,source_file,entity1,entity2,Relation,PMID,reason,entity2_status,entity1_status
98,Canavan,Canavan_additional_relations_v2.csv,inverted echogenicity,cortical gray,pathology_anatomy_present,35187608,unsupported_relation:pathology_anatomy_present,,
99,Canavan,Canavan_additional_relations_v2.csv,inverted echogenicity,subcortical white matter,pathology_anatomy_present,35187608,unsupported_relation:pathology_anatomy_present,,
100,Canavan,Canavan_additional_relations_v2.csv,Canavan disease,progressive cognitive and motor,disease_phenotype_positive,37610133,unresolved_entity2,C5233137|C5233139,
101,Canavan,Canavan_additional_relations_v2.csv,Canavan disease,astroglial vacuolation,disease_phenotype_positive,37610133,unresolved_entity2,C5206989,
102,Canavan,Canavan_additional_relations_v2.csv,Canavan disease,astroglial  vacuolation,disease_phenotype_positive,38282243,unresolved_entity2,C5206989,
103,Canavan,Canavan_additional_relations_v2.csv,dilated perivascular spaces,bifrontal regions,pathology_anatomy_present,40298596,unsupported_relation:pathology_anatomy_present,,
104,Canavan,Canavan_additional_relations_v2.csv,Canavan disease,demylination,disease_phenotype_positive,37271923,unresolved_entity2,C0011304,
121,Batten,20260508-Batten_final.csv,respiratory failure,death,phenotype_phenotype,34491000,unresolved_entity2,C1306577,
132,Batten,20260508-Batten_final.csv,astrocytic,Gfap,anatomy_protein_present,34749772,unresolved_entity1,,C0521395
133,Batten,20260508-Batten_final.csv,astrocytic,C4b,anatomy_protein_present,34749772,unresolved_entity1,,C0521395
134,Batten,20260508-Batten_final.csv,astrocytic,Osmr,anatomy_protein_present,34749772,unresolved_entity1,,C0521395
135,Batten,20260508-Batten_final.csv,microglial,Ctss,anatomy_protein_present,34749772,unresolved_entity1,,C0521398
136,Batten,20260508-Batten_final.csv,microglial,Itgb2,anatomy_protein_present,34749772,unresolved_entity1,,C0521398
137,Batten,20260508-Batten_final.csv,microglial,Itgax,anatomy_protein_present,34749772,unresolved_entity1,,C0521398
142,Batten,20260508-Batten_final.csv,SPG11,reduced strength during walking,disease_phenotype_positive,35605667,unresolved_entity2,C2674511,
144,Batten,20260508-Batten_final.csv,adaptive immune system,SPG11,bioprocess_disease,35605667,unsupported_relation:bioprocess_disease,,
147,Batten,20260508-Batten_final.csv,Infantile neuronal ceroid lipofuscinosis,premature death,disease_phenotype_positive,35628400,unresolved_entity2,C1855073,
148,Batten,20260508-Batten_final.csv,microglial activation,seizures,pathology_phenotype,35628400,unsupported_relation:pathology_phenotype,,
153,Batten,20260508-Batten_final.csv,neuronal ceroid lipofuscinoses,ataxia,disease_phenotype_positive,34868216,duplicate_literature_row,,
155,Batten,20260508-Batten_final.csv,neuronal ceroid lipofuscinoses,premature death,disease_phenotype_positive,34868216,duplicate_literature_row,,
161,Batten,20260508-Batten_final.csv,neuronal ceroid lipofuscinoses,progressive retinal degeneration,disease_phenotype_positive,35033660,duplicate_literature_row,,
162,Batten,20260508-Batten_final.csv,lysosomal storage diseases,neuronal ceroid lipofuscinoses,disease_disease,35033660,duplicate_literature_row,,
167,Batten,20260508-Batten_final.csv,Adult Neuronal Ceroid Lipofuscinosis,DNAJC5,disease_protein,36282524,duplicate_literature_row,,
168,Batten,20260508-Batten_final.csv,neurodegenerative disorder,Adult Neuronal Ceroid Lipofuscinosis,disease_disease,36282524,duplicate_literature_row,,
169,Batten,20260508-Batten_final.csv,Adult Neuronal Ceroid Lipofuscinosis,premature death,disease_phenotype_positive,36282524,duplicate_literature_row,,
177,Batten,20260508-Batten_final.csv,neurodegenerative lysosomal storage disorders,Neuronal ceroid lipofuscinoses,disease_disease,35921411,duplicate_literature_row,,
179,Batten,20260508-Batten_final.csv,neurodegenerative lysosomal storage disorder,neuronal ceroid lipofuscinosis,disease_disease,36040802,duplicate_literature_row,,
182,Batten,20260508-Batten_final.csv,Neuronal Ceroid Lipofuscinoses,CLN6,disease_protein,36088080,duplicate_literature_row,,
203,Batten,20260508-Batten_final.csv,progressive neurological disorder,loss of coordination,disease_phenotype_positive,35447247,unresolved_entity2,C2751891|C3552909,
207,Batten,20260508-Batten_final.csv,Adult-onset Neuronal ceroid lipofuscinosis,DNAJC5,disease_protein,35462699,duplicate_literature_row,,
211,Batten,20260508-Batten_final.csv,gemfibrozil,neuroinflammation,drug_bioprocess,36697260,unsupported_relation:drug_bioprocess,,
220,Batten,20260508-Batten_final.csv,neurodegenerative disorder,neuronal ceroid lipofuscinoses,disease_disease,36876653,duplicate_literature_row,,
221,Batten,20260508-Batten_final.csv,berberine,autophagy,drug_bioprocess,36880056,unsupported_relation:drug_bioprocess,,
223,Batten,20260508-Batten_final.csv,resveratrol,mitochondrial biogenesis,drug_bioprocess,36880056,unsupported_relation:drug_bioprocess,,
234,Batten,20260508-Batten_final.csv,neuronal ceroid lipofuscinosis,CLN6,disease_protein,37074398,duplicate_literature_row,,
235,Batten,20260508-Batten_final.csv,neuronal ceroid lipofuscinosis,CLN3,disease_protein,37074398,duplicate_literature_row,,
240,Batten,20260508-Batten_final.csv,lysosomal storage disorder,neuronal ceroid lipofuscinoses,disease_disease,37209872,duplicate_literature_row,,
244,Batten,20260508-Batten_final.csv,adult-onset neuronal ceroid lipofuscinoses,DNAJC5,disease_protein,37566176,duplicate_literature_row,,
245,Batten,20260508-Batten_final.csv,DNAJC5,cysteine string protein,protein_protein,37566176,unresolved_entity2,C0288968,
246,Batten,20260508-Batten_final.csv,cysteine string protein,oxidative stress inhibition,bioprocess_protein,37566176,unresolved_entity1,,C0288968
251,Batten,20260508-Batten_final.csv,cerliponase alfa,slowed language function decline,drug_effect,38101904,duplicate_literature_row,,
254,Batten,20260508-Batten_final.csv,adult-onset neuronal ceroid lipofuscinosis,DNAJC5,disease_protein,38193346,duplicate_literature_row,,
