Unnamed: 0.1,Unnamed: 0,anchor_group_name,legacy_lookup_status,legacy_conflict_names,Expert review,anchor_group_idx,decision_auto,proposed_group_name_auto,cutoff,cluster_size,cluster_member_idx,cluster_member_name,reviewer_final_group_name,cui,member_name
6,197,hyperparathyroidism,conflict,hyperparathyroidism|hypothyroidism,no,1370.0,yes,hyperparathyroidism,0.98,7.0,1370|11207|11451|11682|13574|14704|22403,hyperparathyroidism || hyperthyroidism || secondary hyperparathyroidism || hypothyroidism || hyperthyroxinemia || primary hyperparathyroidism || tertiary hyperparathyroidism,,C0221002,primary hyperparathyroidism
6,197,hyperparathyroidism,conflict,hyperparathyroidism|hypothyroidism,no,1370.0,yes,hyperparathyroidism,0.98,7.0,1370|11207|11451|11682|13574|14704|22403,hyperparathyroidism || hyperthyroidism || secondary hyperparathyroidism || hypothyroidism || hyperthyroxinemia || primary hyperparathyroidism || tertiary hyperparathyroidism,,C0271858,tertiary hyperparathyroidism
7,243,mevalonic aciduria,missing,,no,1853.0,yes,mevalonic aciduria,0.98,2.0,1853|2705,mevalonic aciduria || urocanic aciduria,,C1959626,mevalonic aciduria
7,243,mevalonic aciduria,missing,,no,1853.0,yes,mevalonic aciduria,0.98,2.0,1853|2705,mevalonic aciduria || urocanic aciduria,,C0268514,urocanic aciduria
8,254,osteocraniostenosis,missing,,no,2033.0,yes,osteocraniostenosis,0.98,2.0,2033|10459,osteocraniostenosis || osteomyelitis,,C1865639,osteocraniostenosis
8,254,osteocraniostenosis,missing,,no,2033.0,yes,osteocraniostenosis,0.98,2.0,2033|10459,osteocraniostenosis || osteomyelitis,,C0029443,osteomyelitis
9,260,"hematuria, benign familial",missing,,no,2159.0,yes,"hematuria, benign familial",0.98,2.0,2159|5251,"hematuria, benign familial || chorea, benign familial",,C0241908,"hematuria, benign familial"
9,260,"hematuria, benign familial",missing,,no,2159.0,yes,"hematuria, benign familial",0.98,2.0,2159|5251,"hematuria, benign familial || chorea, benign familial",,C1859098,"chorea, benign familial"
10,265,"brain abnormalities, neurodegeneration, and dysosteosclerosis",missing,,no,2242.0,yes,"brain abnormalities, neurodegeneration, and dysosteosclerosis",0.98,2.0,2242|8048,"brain abnormalities, neurodegeneration, and dysosteosclerosis || fibrosis, neurodegeneration, and cerebral angiomatosis",,C5193117,"brain abnormalities, neurodegeneration, and dysosteosclerosis"
10,265,"brain abnormalities, neurodegeneration, and dysosteosclerosis",missing,,no,2242.0,yes,"brain abnormalities, neurodegeneration, and dysosteosclerosis",0.98,2.0,2242|8048,"brain abnormalities, neurodegeneration, and dysosteosclerosis || fibrosis, neurodegeneration, and cerebral angiomatosis",,C4748939,"fibrosis, neurodegeneration, and cerebral angiomatosis"
