Unnamed: 0.1,Unnamed: 0,anchor_group_name,legacy_lookup_status,legacy_conflict_names,Expert review,anchor_group_idx,decision_auto,proposed_group_name_auto,cutoff,cluster_size,cluster_member_idx,cluster_member_name,reviewer_final_group_name,cui,member_name
45,1251,hereditary ataxia,missing,,no,13412.0,yes,hereditary ataxia,0.98,3.0,13412|13803|14214,hereditary ataxia || hereditary anemia || hereditary dementia,,C0850672,hereditary anemia
45,1251,hereditary ataxia,missing,,no,13412.0,yes,hereditary ataxia,0.98,3.0,13412|13803|14214,hereditary ataxia || hereditary anemia || hereditary dementia,,C0338451,hereditary dementia
46,1371,pulmonary valve agenesis,found,,no,14566.0,yes,pulmonary valve agenesis,0.98,2.0,14566|17118,pulmonary valve agenesis || pulmonary agenesis,,C0265831,pulmonary valve agenesis
46,1371,pulmonary valve agenesis,found,,no,14566.0,yes,pulmonary valve agenesis,0.98,2.0,14566|17118,pulmonary valve agenesis || pulmonary agenesis,,C0265780,pulmonary agenesis
47,1380,caveolinopathy,missing,,no,14678.0,yes,caveolinopathy,0.98,2.0,14678|14914,caveolinopathy || tubulinopathy,,C5679790,caveolinopathy
47,1380,caveolinopathy,missing,,no,14678.0,yes,caveolinopathy,0.98,2.0,14678|14914,caveolinopathy || tubulinopathy,,C5568850,tubulinopathy
48,1381,infectious myositis,missing,,no,14679.0,yes,infectious myositis,0.98,5.0,14679|14945|16581|21498|21685,infectious myositis || bacterial myositis || viral myocarditis || viral myositis || infectious panuveitis,,C0158353,infectious myositis
48,1381,infectious myositis,missing,,no,14679.0,yes,infectious myositis,0.98,5.0,14679|14945|16581|21498|21685,infectious myositis || bacterial myositis || viral myocarditis || viral myositis || infectious panuveitis,,C0263979,bacterial myositis
48,1381,infectious myositis,missing,,no,14679.0,yes,infectious myositis,0.98,5.0,14679|14945|16581|21498|21685,infectious myositis || bacterial myositis || viral myocarditis || viral myositis || infectious panuveitis,,C0276138,viral myocarditis
48,1381,infectious myositis,missing,,no,14679.0,yes,infectious myositis,0.98,5.0,14679|14945|16581|21498|21685,infectious myositis || bacterial myositis || viral myocarditis || viral myositis || infectious panuveitis,,C0150005,viral myositis
48,1381,infectious myositis,missing,,no,14679.0,yes,infectious myositis,0.98,5.0,14679|14945|16581|21498|21685,infectious myositis || bacterial myositis || viral myocarditis || viral myositis || infectious panuveitis,,C5230354,infectious panuveitis
50,1495,collagenous colitis,missing,,no,16661.0,yes,collagenous colitis,0.98,2.0,16661|23359,collagenous colitis || collagenous gastritis,,C0238067,collagenous colitis
