node_id,node_type,node_name,node_source,group_name_auto,group_name_bert,group_id_bert,group_id_source
8251,disease,familial pityriasis rubra pilaris,MONDO,familial pityriasis rubra pilaris,spastic paraplegia,859309_12271_10121_14073_12211_8251_60583_10852_7450_4614_43114,bert_join
957309,disease,"spastic paraplegia 90B, autosomal recessive",MONDO,"spastic paraplegia 90B, autosomal recessive","spastic paraplegia 90B, autosomal recessive",,
32591,disease,"hyperparathyroidism, transient neonatal",MONDO,hyperparathyroidism,hyperparathyroidism,24570_44350_9396_7768_7767_32591_1343_17975_1741_16140_1010054_12406_1010591_1010592_1010593,bert_join
12734,disease,SERKAL syndrome,MONDO,SERKAL syndrome,SERKAL syndrome,,
10653,disease,Renpenning syndrome,MONDO,Renpenning syndrome,Renpenning syndrome,,
957267,disease,"neurodevelopmental disorder with intracranial hemorrhage, seizures, and spasticity",MONDO,"neurodevelopmental disorder with intracranial hemorrhage, seizures, and spasticity","neurodevelopmental disorder with intracranial hemorrhage, seizures, and spasticity",,
8328,disease,"glaucoma 1, open angle, P",MONDO,"glaucoma 1, open angle","glaucoma 1, open angle",7664_8328_12515_13134_12101_12102_12645_800210,bert_join
13511,disease,"cyanosis, transient neonatal",MONDO,"cyanosis, transient neonatal","cyanosis, transient neonatal",,
8847,disease,atrichia with papular lesions,MONDO,atrichia with papular lesions,atrichia with papular lesions,,
9484,disease,primary ciliary dyskinesia 1,MONDO,"ciliary dyskinesia, primary","ciliary dyskinesia, primary",32664_54843_13979_32874_32757_30332_100607_14123_14193_14192_14910_9484_13525_14909_12571_13434_14378_14202_12978_957922_957396_14203_11718_13174_14215_13435_32924_12906_12918_14216_12979_31054_30346_14465_14030_957252_859353_32914_14211_13854_14657_33204_12748_32637_957991_13940_14750_32872_10517_12088_12085_16575_12087_12844,bert_join
32936,disease,"myopathy, congenital, with respiratory insufficiency and bone fractures",MONDO,"myopathy, congenital, with respiratory insufficiency and bone fractures","myopathy, congenital, with respiratory insufficiency and bone fractures",,
957261,disease,"pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 7",MONDO,"pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related","pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related",957263_957294_957261,bert_join
14194,disease,mitochondrial complex III deficiency nuclear type 6,MONDO,mitochondrial complex III deficiency nuclear,mitochondrial complex III deficiency nuclear,14063_14496_14364_14194_32909_7415_14066_14065_14356_14064_859321_20811,bert_join
