entity_name,entity_type,accepted_in_second_search,suggested_name,observed_statuses
rescues cholesterol accumulation,phenotype,no,,
rescues epigenetic marks,phenotype,no,,
rescues mitochondrial membrane potential depolarization;,phenotype,no,,
rescues myelination,phenotype,no,,
rescues oligodendrocyte gene expression.,phenotype,no,,
rescues sphingolipid accumulation.,phenotype,no,,
resolve the catatonia,phenotype,no,,
restore lipid homeostasis,biological_process,yes,lipid homeostasis,C2262744
restored autophagic flux,phenotype,no,,
restored cell viability,phenotype,no,,
restored lipid profile,lipid,no,,
restored localization of golgin 97,phenotype,no,,
restored localization of syntaxin 6,phenotype,no,,
restored mitochondria length,phenotype,no,,
retromer dysfunction,phenotype,no,,
retromer impairment,phenotype,no,,
robust phagocytic activity,phenotype,no,,
severe acute liver failure,pathology,no,,
severe biochemical phenotype,phenotype,no,,
shorter adhesio interthalamica length,phenotype,no,,
shorter lifespan,phenotype,no,,
shortfalls in fine odor discrimination,phenotype,no,,
significantly reduced mortality risk,phenotype,no,,
slow down the rate of weight loss,phenotype,no,,
slow neurological damage,biological_process,no,,
slowed peak velocity,phenotype,no,,
slower onset of cerebral cortical pathology,phenotype,no,,
smaller gray matter volumes,phenotype,no,,
smaller whole hippocampi volumes,disease,no,,
soluble epoxide hydrolase pathways,pathway,no,,
sphingolipid dyshomeostasis,phenotype,no,,
sphingomyelin accumulation,phenotype,no,,
spleen biospies,anatomy,yes,spleen,C0037993
splenic monocytes,anatomy,no,,
splenic neutrophils,anatomy,no,,
stabilized chorea,phenotype,no,,
stabilized coginitive decline,phenotype,yes,Progressive psychomotor deterioration,C1856565
stabilized neurological phenotypes,phenotype,no,,
stabilized psychiatric features,phenotype,no,,
sterol absorption,biological_process,no,,
stimulator of interferon genesassociated diseases,disease,no,,
stimulus-sensitive myoclonus,phenotype,no,,
striatal astrocytes,anatomy,no,,
suboptimal cholesterol transport,phenotype,no,,
substantial fibrosis,phenotype,no,,
sustained reduction in disease progression,phenotype,yes,Disease remission,C0544452
symtomatic therapy,exposure,no,,
synaptic boutons size increase,phenotype,no,,
synaptic disturbance,phenotype,no,,
synchronicity disruptions,phenotype,no,,
synthesis of esterified cholesterol,biological_process,no,,
systemic insulin signaling,biological_process,no,,
systemic iron abnormalities,phenotype,yes,Abnormal serum iron concentration,C0235760
systemic organ lesions,phenotype,no,,
tau dysregulation,phenotype,no,,
third transmembrane domain,anatomy,no,,
total diacylglycerols,phenotype,no,,
total retinal thinning in the fovea,phenotype,no,,
