Unnamed: 0,entity1,entity2,entity_type1,entity_type2,Relation,PMID,entity1_status,entity2_status,entity1_suggested_name,entity2_suggested_name,second_search_suggested_name,entity1_expert_accepted,entity1_expert_suggested_name,entity1_expert_cui,entity1_expert_resolution,entity2_expert_accepted,entity2_expert_suggested_name,entity2_expert_cui,entity2_expert_resolution,mapping_version
132,Canavan disease,leukodystrophy,disease,disease,disease_disease,36568275,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
133,Canavan disease,ASPA,disease,protein/gene,disease_protein,36568275,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
140,leukodystrophy,Canavan disease,disease,disease,disease_disease,36968992,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
141,canavan disease,seizures,disease,phenotype,disease_phenotype_positive,36968992,in_kg,C0036572,,,,,,,,,,,,v2_expert_merged
143,clobazam,Canavan disease,drug,disease,indication,36968992,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
144,primidone,Canavan disease,drug,disease,indication,36968992,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
145,leukodystrophy,Canavan disease,disease,disease,disease_disease,37149081,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
147,canavan disease,ASPA,disease,protein/gene,disease_protein,37149081,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
148,Canavan disease,myelin,disease,phenotype,disease_phenotype_positive,37149081,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
150,Canavan disease,large vacuole,disease,phenotype,disease_phenotype_positive,37149081,in_kg,C1853189,,,,,,,,,,,,v2_expert_merged
151,Canavan disease,death,disease,phenotype,disease_phenotype_positive,37149081,in_kg,C1306577,,,,,,,,,,,,v2_expert_merged
153,Canavan disease,ASPA,disease,protein/gene,disease_protein,37271923,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
155,Canavan disease,vacuolation,disease,phenotype,disease_phenotype_positive,37271923,in_kg,C0010840,,,,,,,,,,,,v2_expert_merged
160,spongiform leukodystrophy,Canavan disease,disease,disease,disease_disease,38544400,C0206307,in_kg,,,,,,,,,,,,v2_expert_merged
161,spongy leukodystrophy,Canavan disease,disease,disease,disease_disease,38544400,C0023520,in_kg,leukodystrophy,,leukodystrophy,False,Spongy degeneration,C0333462,not_accepted,,,,,v2_expert_merged
164,Canavan disease,ASPA,disease,protein/gene,disease_protein,38544400,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
166,Canavan disease,ASPA,disease,protein/gene,disease_protein,38718669,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
173,white matter,Canavan disease,anatomy,disease, anatomy_disease,38880823,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
174,globus pallidus,Canavan disease,anatomy,disease, anatomy_disease,38880823,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
175,putamen,Canavan disease,anatomy,disease, anatomy_disease,38880823,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
176,caudate,Canavan disease,anatomy,disease, anatomy_disease,38880823,C0007461|C0162512,in_kg,caudate-putamen,,caudate-putamen,,,,,,,,,v2_expert_merged
177,claustrum,Canavan disease,anatomy,disease, anatomy_disease,38880823,C0008910,in_kg,,,,,,,,,,,,v2_expert_merged
178,lateral thalamus,Canavan disease,anatomy,disease, anatomy_disease,38880823,C0228341,in_kg,lateral posterior nucleus of thalamus,,lateral posterior nucleus of thalamus,,,,,,,,,v2_expert_merged
179,pulvinar,Canavan disease,anatomy,disease, anatomy_disease,38880823,C0152347|C0262299,in_kg,pulvinar nucleus,,pulvinar nucleus,,,,,,,,,v2_expert_merged
180,internal capsules,Canavan disease,anatomy,disease, anatomy_disease,38880823,C0152341,in_kg,,,,,,,,,,,,v2_expert_merged
181,corpus callosum,Canavan disease,anatomy,disease, anatomy_disease,38880823,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
185,Canavan disease,ASPA,disease,protein/gene,disease_protein,39119446,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
186,Canavan disease,hypotonia,disease,phenotype,disease_phenotype_positive,39119446,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
187,Canavan disease,macrocephaly,disease,phenotype,disease_phenotype_positive,39119446,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
188,Canavan disease,deafness,disease,phenotype,disease_phenotype_positive,39119446,in_kg,C0011053,,,,,,,,,,,,v2_expert_merged
190,Canavan disease,blindness,disease,phenotype,disease_phenotype_positive,39119446,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
191,Canavan disease,brain atrophy,disease,phenotype,disease_phenotype_positive,39119446,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
192,leukodystrophy,Canavan disease,disease,disease,disease_disease,39119446,in_kg,in_kg,,,,,,,,,,,,v2_expert_merged
