entity_name,entity_type,algo_accepted,algo_suggested_name,algo_cui,expert_accepted,expert_rejected,expert_suggested_name,expert_cui,note,entity_name_norm,expert_resolution
learning and memory impairment,phenotype,False,,C0423943,True,False,,,,learning and memory impairment,expert_cui
lipid dysregulation reduction,phenotype,False,,C0154251,False,True,,,,lipid dysregulation reduction,not_accepted
lipid perturbation,biological_process,False,,,False,True,Lipid Metabolism Disorders,C0154251,,lipid perturbation,not_accepted
lipofuscin aggregate degradation,biological_process,False,,,True,False,,,,lipofuscin aggregate degradation,expert_accept_unresolved
lipofuscin aggregate reduction,phenotype,False,,,True,False,,,,lipofuscin aggregate reduction,expert_accept_unresolved
lipofuscin formation,biological_process,False,,,True,False,,,,lipofuscin formation,expert_accept_unresolved
localised macular ellipsoid zone disruption,pathology,False,,,False,True,Abnormal retinal morphology on macular OCT,C4073082,,localised macular ellipsoid zone disruption,not_accepted
longer survivor,phenotype,False,,C0206193,True,False,,,,longer survivor,expert_cui
loss of bipolar cells,phenotype,False,,C1564995,False,True,,,,loss of bipolar cells,not_accepted
loss of control over defecation,phenotype,False,,C0015732,True,False,,,,loss of control over defecation,expert_cui
loss of control over urination,phenotype,False,,C0042024,True,False,,,,loss of control over urination,expert_cui
loss of dopamine transporter,phenotype,False,,C0114838,False,True,,,,loss of dopamine transporter,not_accepted
loss of enzymatic activity,phenotype,False,,C2267219,False,True,Enzyme Deficiency,C0149676,,loss of enzymatic activity,not_accepted
loss of muscular tone,phenotype,False,,C0427202,True,False,,,,loss of muscular tone,expert_cui
loss of progranulin,molecular_function,False,,C0168913,False,True,Reduced circulating progranulin concentration,C6016451,,loss of progranulin,not_accepted
loss of retinal cell types,phenotype,False,,C0035304,True,False,,,,loss of retinal cell types,expert_cui
loss of the inner nuclear layer,phenotype,False,,C1512784,False,True,,,,loss of the inner nuclear layer,not_accepted
low plasma carnitine concentrations,phenotype,False,,C1855120,True,False,,,,low plasma carnitine concentrations,expert_cui
lower electrophysical activity,phenotype,False,,,True,False,,,,lower electrophysical activity,expert_accept_unresolved
lysophosphatidylglycerol accumulation,biological_process,False,,,True,False,,,,lysophosphatidylglycerol accumulation,expert_accept_unresolved
lysosoma dysfuntion,phenotype,False,,,False,True,Decreased Lysosomal Function,C1371708,,lysosoma dysfuntion,not_accepted
lysosomal accumulation of ceroid lipofuscin,phenotype,False,,,False,True,Intracellular accumulation of autofluorescent lipopigment storage material,C4025642,,lysosomal accumulation of ceroid lipofuscin,not_accepted
lysosomal accumulation of fluorescent storage material,phenotype,False,,,False,True,Intracellular accumulation of autofluorescent lipopigment storage material,C4025642,,lysosomal accumulation of fluorescent storage material,not_accepted
lysosomal chloride channel,biological_process,False,,C0055363,True,False,,,,lysosomal chloride channel,expert_cui
lysosomal chloride conductance,biological_process,False,,,True,False,,,,lysosomal chloride conductance,expert_accept_unresolved
lysosomal cholesterol homeostasis,biological_process,False,,C1326960,True,False,,,,lysosomal cholesterol homeostasis,expert_cui
lysosomal cholesterol storage disorder,disease,False,,C2612180,False,True,Lysosomal Storage Diseases,C0085078,,lysosomal cholesterol storage disorder,not_accepted
lysosomal depalmitoylation enzyme,protein/gene,False,,,True,False,,,,lysosomal depalmitoylation enzyme,expert_accept_unresolved
lysosomal dysfunction,biological_process | phenotype,False,,C3887504,False,True,Decreased Lysosomal Function,C1371708,,lysosomal dysfunction,not_accepted
lysosomal globotriaosylceramide accumulation,biological_process,False,,C0061338,False,True,Globotriaosylceramide increased,C3160758,,lysosomal globotriaosylceramide accumulation,not_accepted
lysosomal glycerophosphodiester accumulation,biological_process,False,,,True,False,,,,lysosomal glycerophosphodiester accumulation,expert_accept_unresolved
lysosomal ion homeostasis,biological_process,False,,,False,True,ion homeostasis,C1326962,,lysosomal ion homeostasis,not_accepted
lysosomal lipofuscin accumulation,biological_process,False,,C1326962,False,True,Intracellular accumulation of autofluorescent lipopigment storage material,C4025642,,lysosomal lipofuscin accumulation,not_accepted
lysosomal storage accumulation,phenotype,False,,,False,True,Intracellular accumulation of autofluorescent lipopigment storage material,C4025642,,lysosomal storage accumulation,not_accepted
lysosomal storage bodies,phenotype,False,,,False,True,Intracellular accumulation of autofluorescent lipopigment storage material,C4025642,,lysosomal storage bodies,not_accepted
lysosomal storage of undigested cargo,phenotype,False,,,False,True,Intracellular accumulation of autofluorescent lipopigment storage material,C4025642,,lysosomal storage of undigested cargo,not_accepted
lysosomal-mitochondrial axis,biological_process,False,,,True,False,,,,lysosomal-mitochondrial axis,expert_accept_unresolved
lysosome dysfunction reduction,phenotype,False,,,False,True,Increased Lysosomal Function,C1372391,,lysosome dysfunction reduction,not_accepted
lysosome's degradative capacity,biological_process,False,,,False,True,lysosomal proteolysis,C4231795,,lysosome's degradative capacity,not_accepted
macroautophagic defects,phenotype,False,,C1155604,False,True,Autophagy lesions,C5543046,,macroautophagic defects,not_accepted
macular ellipsoid zone disruption,phenotype,False,,,False,True,Abnormal retinal morphology on macular OCT,C4073082,,macular ellipsoid zone disruption,not_accepted
manifesting developmental regression,phenotype,False,,C1836830,True,False,,,,manifesting developmental regression,expert_cui
melanin precursor uptake,biological_process,False,,C0065897,False,True,,,,melanin precursor uptake,not_accepted
membrane-bound vacuoles containing diverse storage material,phenotype,False,,,False,True,Intracellular accumulation of autofluorescent lipopigment storage material,C4025642,,membrane-bound vacuoles containing diverse storage material,not_accepted
menace response deficits,phenotype,False,,C3670558,True,False,,,,menace response deficits,expert_cui
microglial cell bodies,cellular_component,False,,C0521398,True,False,,,,microglial cell bodies,expert_cui
microgliosis reduction,phenotype,False,,C3686874,False,True,negative regulation of microglial cell activation,C3895752,,microgliosis reduction,not_accepted
milasen,drug,False,,,False,True,Antisense Oligonucleotide [EPC],C4018803,,milasen,not_accepted
minor immune or inflammatory stimulus,phenotype,False,,,False,True,,,,minor immune or inflammatory stimulus,not_accepted
mitochondrial reactive oxygen species,molecular_function,True,reactive oxygen species metabolic process,C3156654,False,True,Reactive Oxygen Species,C0162772,,mitochondrial reactive oxygen species,not_accepted
modifying cysteine residues,biological_process,False,,C4314398,False,True,,,,modifying cysteine residues,not_accepted
mood-related concerns,phenotype,False,,,False,True,,,,mood-related concerns,not_accepted
motor decline,phenotype,False,,,False,True,Motor deterioration,C1866284,,motor decline,not_accepted
motor disease signs,phenotype,False,,,False,True,Motor dysfunction,C5979810,,motor disease signs,not_accepted
multiple lysosomal tubules formation,biological_process | protein/gene,False,,,False,True,Tubule Formation,C1718420,,multiple lysosomal tubules formation,not_accepted
mutant retinas,anatomy,True,retina,C0035298,False,True,,,,mutant retinas,not_accepted
myenteric plexus neuron loss,phenotype,False,,C0027028,False,True,,,,myenteric plexus neuron loss,not_accepted
neural circuit dysfunction,phenotype,False,,C0814033,False,True,Neurological Deficit or Dysfunction,C1709219,,neural circuit dysfunction,not_accepted
neurocognitive deterioration,phenotype,False,,,False,True,Neurocognitive deficit,C4552512,,neurocognitive deterioration,not_accepted
neurodegenerative condition,disease,False,,,False,True,Neurodegenerative Disorders,C0524851,,neurodegenerative condition,not_accepted
neurodegenerative conditions,disease,False,,,False,True,Neurodegenerative Disorders,C0524851,,neurodegenerative conditions,not_accepted
neurodegenerative lysosomal storage disorder,disease,True,lysosomal storage disease,C0085078,True,False,,,,neurodegenerative lysosomal storage disorder,expert_cui
neurodegenerative lysosomal storage disorders,disease,True,lysosomal storage disease,C0085078,True,False,,,,neurodegenerative lysosomal storage disorders,expert_cui
neurodegenerative metabolic disease,disease,False,,C0025517,False,True,Neurodegenerative Disorders,C0524851,,neurodegenerative metabolic disease,not_accepted
neurodegenerative phenotype,phenotype,False,,C0025518,False,True,Neurodegenerative Disorders,C0524851,,neurodegenerative phenotype,not_accepted
neurodegenerative phenotypes,phenotype,False,,,False,True,Neurodegenerative Disorders,C0524851,,neurodegenerative phenotypes,not_accepted
neurodevelopmental alterations,phenotype,False,,,False,True,Neurodevelopmental Disorders,C1535926,,neurodevelopmental alterations,not_accepted
neurodevelopmental and neurodegenerative disorder,disease,True,complex neurodevelopmental disorder,C5568766,True,False,,,,neurodevelopmental and neurodegenerative disorder,expert_cui
neuroinflammatory trajectory,phenotype,False,,,False,True,Neuroinflammation,C5394393,,neuroinflammatory trajectory,not_accepted
neuromuscular degeneration,phenotype,False,,C1979768,False,True,Neuromuscular Diseases,C0027868,,neuromuscular degeneration,not_accepted
neuronal autofluorescent ceroid-lipofuscin accumulation,phenotype,False,,,False,True,Neuronal Ceroid-Lipofuscinoses,C0027877,,neuronal autofluorescent ceroid-lipofuscin accumulation,not_accepted
neuronal ceroid lipofuscinoses condition,disease,False,,C0027877,True,False,,,,neuronal ceroid lipofuscinoses condition,expert_cui
neuropathological phenotypes,phenotype,False,,,False,True,Neuropathology,C0876934,,neuropathological phenotypes,not_accepted
neuroprotective properties,phenotype,False,,,False,True,Neuroprotection,C0598958,,neuroprotective properties,not_accepted
non-syndromic macular dystrophy,phenotype,False,,C5681373,False,True,Macular dystrophy,C0730292,,non-syndromic macular dystrophy,not_accepted
novel lysosomal storage disease,disease,False,,C0085078,True,False,,,,novel lysosomal storage disease,expert_cui
ocular phenotype,phenotype,False,,,False,True,Eye Manifestations,C0015411,,ocular phenotype,not_accepted
combination of at least one severe variant with a moderate one,phenotype,False,,,False,True,Compound Heterozygosity,C4264438,,combination of at least one severe variant with a moderate one,not_accepted
open reading frame correction,phenotype,False,,C0079941,False,True,,,,open reading frame correction,not_accepted
oxysterol-binding protein inhibitor,drug,False,,C0069838,False,True,,,,oxysterol-binding protein inhibitor,not_accepted
palmitoyl-protein thioesterase 1 deficiency,phenotype,False,,C0917464,True,False,,,,palmitoyl-protein thioesterase 1 deficiency,expert_cui
palmitoylation-depalmitoylation cycles,biological_process,False,,,False,True,protein palmitoylation,C1157492,,palmitoylation-depalmitoylation cycles,not_accepted
partially rescued aberrant synaptic calcium dynamics,phenotype,False,,,True,False,,,,partially rescued aberrant synaptic calcium dynamics,expert_accept_unresolved
pediatric dementia syndrome,disease,False,,,False,True,Dementia,C0497327,,pediatric dementia syndrome,not_accepted
pediatric rare neurometabolic diseases,disease,False,,C5681332,True,False,,,,pediatric rare neurometabolic diseases,expert_cui
peripapillary retinal nerve fiber layer degeneration,phenotype,False,,C5983236,True,False,,,,peripapillary retinal nerve fiber layer degeneration,expert_cui
photoreceptor outer segment phagocytosis defect,biological_process,False,,C1325525,False,True,Abnormal phagocytosis,C5139054,,photoreceptor outer segment phagocytosis defect,not_accepted
photoreceptor to bipolar synaptic defects,phenotype,False,,,True,False,,,,photoreceptor to bipolar synaptic defects,expert_accept_unresolved
photosensitivity at low and higher frequencies,phenotype,False,,,True,False,,,,photosensitivity at low and higher frequencies,expert_accept_unresolved
pigment-containing macrophages,pathology,False,,,True,False,,,,pigment-containing macrophages,expert_accept_unresolved
plants demonstrating reduced astrocyte activation,drug,False,,C1326121,False,True,negative regulation of astrocyte activation,C4690073,,plants demonstrating reduced astrocyte activation,not_accepted
plants with anti-neuro-inflammatory action,drug,False,,,False,True,negative regulation of neuroinflammatory response,,,plants with anti-neuro-inflammatory action,not_accepted
postural vertical nystagmus,phenotype,False,,C0344246,True,False,,,,postural vertical nystagmus,expert_cui
premature death in adolescence,phenotype,False,,C4023368,True,False,,,,premature death in adolescence,expert_cui
prevent language decline,phenotype,True,Progressive language deterioration,C1843793,True,False,,,,prevent language decline,expert_cui
prevent motor decline,phenotype,True,Delayed fine motor development,C4023681,True,False,,,,prevent motor decline,expert_cui
prevented bowel distention,phenotype,False,,C2747824,False,True,Prevent or minimize abdominal distention,C0547842,,prevented bowel distention,not_accepted
prevented bowel transit defect,phenotype,False,,,True,False,,,,prevented bowel transit defect,expert_accept_unresolved
prevented tremors,phenotype,False,,C0040822,True,False,,,,prevented tremors,expert_cui
prevented vesicle trafficking,phenotype,False,,C2266273,False,True,,,,prevented vesicle trafficking,not_accepted
progranulin deficiency,molecular_function | phenotype | protein/gene,False,,C0168913,False,True,Reduced circulating progranulin concentration,C6016451,,progranulin deficiency,not_accepted
progranulin insufficiency,phenotype,False,,C0168914,False,True,Reduced circulating progranulin concentration,C6016451,,progranulin insufficiency,not_accepted
progressive atrophy of the outer retinal layers,phenotype,False,,C3669212,True,False,,,,progressive atrophy of the outer retinal layers,expert_cui
progressive brain deterioration,phenotype,False,,C1854838,True,False,,,,progressive brain deterioration,expert_cui
progressive deterioration of cognitive abilities,phenotype,False,,C0854193,True,False,,,,progressive deterioration of cognitive abilities,expert_cui
progressive gait abnormality,phenotype,True,Progressive gait ataxia,C1843885,False,True,Gait abnormality,C0575081,,progressive gait abnormality,not_accepted
progressive global brain atrophy,phenotype,False,,C0241816,True,False,,,,progressive global brain atrophy,expert_cui
progressive neurological decline,phenotype,False,,C4314692,True,False,,,,progressive neurological decline,expert_cui
progressive psychomotor developmental retardation,phenotype,False,,,False,True,Progressive psychomotor deterioration,C1856565,,progressive psychomotor developmental retardation,not_accepted
progressive regionally defined glial activation,phenotype,False,,C1864676,True,False,,,,progressive regionally defined glial activation,expert_cui
progressive retinal deterioration,phenotype,False,,,False,True,Progressive retinal degeneration,C1854888,,progressive retinal deterioration,not_accepted
prominent retinal,phenotype,False,,C0035298,False,True,,,,prominent retinal,not_accepted
prominent storage body accumulation,phenotype,False,,,False,True,Intracellular accumulation of autofluorescent lipopigment storage material,C4025642,,prominent storage body accumulation,not_accepted
psychomotor behavioral outcomes,pathology,False,,C3549189,True,False,,,,psychomotor behavioral outcomes,expert_cui
rapid degeneration of the caudate nucleus,phenotype,False,,,False,True,Atrophy/Degeneration involving the caudate nucleus,C4024895,,rapid degeneration of the caudate nucleus,not_accepted
reduce neurological disease burden,phenotype,False,,,True,False,,,,reduce neurological disease burden,expert_accept_unresolved
reduced astroglial activation,biological_process,False,,,False,True,negative regulation of astrocyte activation,C4690073,,reduced astroglial activation,not_accepted
reduced attenuated reactive astrogliosis,phenotype,False,,,False,True,negative regulation of astrocyte activation,C4690073,,reduced attenuated reactive astrogliosis,not_accepted
reduced cell viability,biological_process,False,,,False,True,Positive Regulation of Cell Death,C1516338,,reduced cell viability,not_accepted
reduced disease-associated pathology,phenotype,False,,,False,True,Neuroprotection,C0598958,,reduced disease-associated pathology,not_accepted
reduced enzymatic activity,biological_process,False,,C2267219,False,True,Enzyme Deficiency,C0149676,,reduced enzymatic activity,not_accepted
reduced gliosis,phenotype,False,,C0017639,False,True,,,,reduced gliosis,not_accepted
reduced lifespans,phenotype,False,,C0870809,False,True,Reduction in Life Expectancy,C5419418,,reduced lifespans,not_accepted
reduced lysosomal autofluorescent storage material accumulation,phenotype,False,,,True,False,,,,reduced lysosomal autofluorescent storage material accumulation,expert_accept_unresolved
reduced lysosomal globotriaosylceramide accumulation,biological_process,False,,C0061338,False,True,,,,reduced lysosomal globotriaosylceramide accumulation,not_accepted
reduced lysosomal glycerophosphodiester accumulation,biological_process,False,,,True,False,,,,reduced lysosomal glycerophosphodiester accumulation,expert_accept_unresolved
reduced lysosomal storage material,phenotype,False,,C5236186,False,True,,,,reduced lysosomal storage material,not_accepted
reduced microglial activation,biological_process,False,,C1326169,False,True,negative regulation of microglial cell activation,C3895752,,reduced microglial activation,not_accepted
reduced neurodegeneration,phenotype,False,,,False,True,Neuroprotection,C0598958,,reduced neurodegeneration,not_accepted
reduced neuroinflammation,phenotype,False,,C5394393,False,True,negative regulation of neuroinflammatory response,C5137643,,reduced neuroinflammation,not_accepted
reduced neurological decline,phenotype,True,Progressive neurologic deterioration,C1854838,False,True,,,,reduced neurological decline,not_accepted
reduced oxidative stress,biological_process,False,,C0242606,False,True,,,,reduced oxidative stress,not_accepted
reduced pain threshold,phenotype,False,,C0162703,False,True,,,,reduced pain threshold,not_accepted
reduced pain-related neuropeptides,protein/gene,False,,,True,False,,,,reduced pain-related neuropeptides,expert_accept_unresolved
reduced patellar reflex,phenotype,True,Decreased patellar reflex,C3277184,True,False,,,,reduced patellar reflex,expert_cui
reduced photoreceptor outer segment binding,biological_process,False,,,True,False,,,,reduced photoreceptor outer segment binding,expert_accept_unresolved
reduced retinal dysfunction,phenotype,False,,C3809218,False,True,,,,reduced retinal dysfunction,not_accepted
reduced scotopic and photopic electroretinographic waveforms,phenotype,False,,,False,True,Electroretinogram abnormal,C0476397,,reduced scotopic and photopic electroretinographic waveforms,not_accepted
reduced strength during walking,phenotype,True,Loss of ability to walk,C2674511,True,False,,,,reduced strength during walking,expert_cui
reduced the mitochondrial reactive oxygen spices,phenotype,False,,C0162772,False,True,,,,reduced the mitochondrial reactive oxygen spices,not_accepted
reduced α-synuclein aggregation,biological_process,False,,,True,False,,,,reduced α-synuclein aggregation,expert_accept_unresolved
reduction in lipofuscin deposits,phenotype,False,,,True,False,,,,reduction in lipofuscin deposits,expert_accept_unresolved
reduction in microglia infiltration,phenotype,False,,,False,True,negative regulation of microglial cell activation,C3895752,,reduction in microglia infiltration,not_accepted
reduction in retina thinning,phenotype,False,,C5936309,False,True,,,,reduction in retina thinning,not_accepted
rescued autophagy,biological_process,False,,C0004391,True,False,,,,rescued autophagy,expert_cui
rescued locomotor impairment,phenotype,True,non-syndromic limb reduction defect,C5680277,False,True,Motor improvement,C5452884,,rescued locomotor impairment,not_accepted
residual histopathology,phenotype,False,,C0677043,True,False,,,,residual histopathology,expert_cui
restored autophagy,biological_process,False,,C0004391,True,False,,,,restored autophagy,expert_cui
restored chemotaxis,phenotype,False,,C0008018,True,False,,,,restored chemotaxis,expert_cui
restored muscle strength,phenotype,False,,C0517349,False,True,Increased muscle strength,C5563135,,restored muscle strength,not_accepted
retinal volume stable,phenotype,False,,,True,False,,,,retinal volume stable,expert_accept_unresolved
robust mismatch negativity response,phenotype,False,,,True,False,,,,robust mismatch negativity response,expert_accept_unresolved
robust therapeutic benefit,phenotype,False,,,True,False,,,,robust therapeutic benefit,expert_accept_unresolved
rod system dysfunction,phenotype,False,,,True,False,,,,rod system dysfunction,expert_accept_unresolved
scattered drusen,phenotype,False,,C1260959,True,False,,,,scattered drusen,expert_cui
sequestosome 1/p62,protein/gene,False,,,False,True,Sequestosome-1 Protein,C4255261,,sequestosome 1/p62,not_accepted
severe cerebellum atrophy,phenotype,False,,C0740279,True,False,,,,severe cerebellum atrophy,expert_cui
severe cortical atrophy,anatomy,False,,C4551583,True,False,,,,severe cortical atrophy,expert_cui
severe reduction in heart rate,phenotype,False,,,False,True,Bradycardia,C0428977,,severe reduction in heart rate,not_accepted
sex-dependent myelination defect,phenotype,False,,C4014372,True,False,,,,sex-dependent myelination defect,expert_cui
sharp fall in the number of lipid droplets,phenotype,False,,C0230704,False,True,negative regulation of lipid storage,C2612195,,sharp fall in the number of lipid droplets,not_accepted
significant atrophy of all retinal layers,phenotype,False,,,False,True,Progressive retinal atrophy,C3669212,,significant atrophy of all retinal layers,not_accepted
significant cortical atrophy,phenotype,False,,C4551583,True,False,,,,significant cortical atrophy,expert_cui
slow brain volume loss,phenotype,False,,C5194839,False,True,,,,slow brain volume loss,not_accepted
slow deteriorated language function,phenotype,True,Progressive language deterioration,C1843793,False,True,,,,slow deteriorated language function,not_accepted
slow deteriorated motor function,phenotype,True,Motor deterioration,C1866284,False,True,Motor improvement,C5452884,,slow deteriorated motor function,not_accepted
slow movement disorder progression,phenotype,True,Progressive psychomotor deterioration,C1856565,True,False,,,,slow movement disorder progression,expert_cui
slow supratentorial gray matter volume loss,phenotype,True,Deep white matter hypodensities,C1856979,True,False,,,,slow supratentorial gray matter volume loss,expert_cui
slowed language decline,protein/gene,False,,,True,False,,,,slowed language decline,expert_accept_unresolved
slowed language function decline,phenotype,True,Progressive language deterioration,C1843793,True,False,,,,slowed language function decline,expert_cui
slowed motor decline,phenotype | protein/gene,True,Motor deterioration,C1866284,False,True,Motor improvement,C5452884,,slowed motor decline,not_accepted
slowed stereotypical brain atrophy,phenotype,False,,C4551584,False,True,,,,slowed stereotypical brain atrophy,not_accepted
small caudate volume,phenotype,False,,C2676248,True,False,,,,small caudate volume,expert_cui
small gray matter volume,phenotype,False,,,True,False,,,,small gray matter volume,expert_accept_unresolved
small intracranial volume,phenotype,False,,,True,False,,,,small intracranial volume,expert_accept_unresolved
small putamen volume,phenotype,False,,,True,False,,,,small putamen volume,expert_accept_unresolved
soluble lysosomal enzymes,protein/gene,False,,C0391845,True,False,,,,soluble lysosomal enzymes,expert_cui
sortilin inhibitor,protein/gene,False,,C5980613,False,True,,,,sortilin inhibitor,not_accepted
specific emotions and behaviou,phenotype,False,,,False,True,Neuro & emotional & behavioral status,C2735306,,specific emotions and behaviou,not_accepted
specific emotions and behaviour,phenotype,False,,,False,True,Neuro & emotional & behavioral status,C2735306,,specific emotions and behaviour,not_accepted
splice-switching antisense oligonucleotide,drug,False,,C4018803,True,False,,,,splice-switching antisense oligonucleotide,expert_cui
spontaneous myoclonus,phenotype,False,,C0027066,True,False,,,,spontaneous myoclonus,expert_cui
stimulating pro-apoptotic signaling,biological_process,False,,,False,True,Positive Regulation of Apoptosis,C1326205,,stimulating pro-apoptotic signaling,not_accepted
storage body accumulation,phenotype,False,,,False,True,Intracellular accumulation of autofluorescent lipopigment storage material,C4025642,,storage body accumulation,not_accepted
storage lipid accumulation within neuronal lipofuscin,phenotype,True,Increased cerebral lipofuscin,C4023177,False,True,Intracellular accumulation of autofluorescent lipopigment storage material,C4025642,,storage lipid accumulation within neuronal lipofuscin,not_accepted
