entity_name,entity_type,algo_accepted,algo_suggested_name,algo_cui,expert_accepted,expert_rejected,expert_suggested_name,expert_cui,note,entity_name_norm,expert_resolution
stress granule dynamics,biological_process,False,,C5442023,True,False,,,,stress granule dynamics,expert_cui
sudden loss of consciousness,phenotype,False,,,False,True,Unconscious State,C0041657,,sudden loss of consciousness,not_accepted
surgical site swelling,pathology,False,,,False,True,Surgical wound edema,C3687388,,surgical site swelling,not_accepted
symmetrical progressive atrophy of the cervical spinal cord,phenotype,False,,C0742191,True,False,,,,symmetrical progressive atrophy of the cervical spinal cord,expert_cui
symmetrical progressive atrophy of the whole brain,phenotype,False,,,False,True,Global brain atrophy,C0241816,,symmetrical progressive atrophy of the whole brain,not_accepted
sympathetic nervous system dysregulation,phenotype,False,,,False,True,"Nervous System Diseases, Sympathetic",C0750946,,sympathetic nervous system dysregulation,not_accepted
synapse functions,biological_process,False,,C0039062,False,True,Synaptic Transmission,C0027793,,synapse functions,not_accepted
synaptic depletion of tethers,protein/gene,False,,,True,False,,,,synaptic depletion of tethers,expert_accept_unresolved
synaptic subcompartments,cellular_component,False,,,False,True,Synapses,C0039062,,synaptic subcompartments,not_accepted
synaptic vesicle endocytic deficits,phenotype,False,,,False,True,inhibition of synaptic vesicle endocytosis,C3272183,,synaptic vesicle endocytic deficits,not_accepted
thickening of inner nuclear layer,phenotype,False,,C1512784,False,True,,,,thickening of inner nuclear layer,not_accepted
thickening of the inner plexiform layer,phenotype,False,,C1512785,False,True,,,,thickening of the inner plexiform layer,not_accepted
thinning of outer photoreceptor segments,phenotype,False,,C1325525,False,True,,,,thinning of outer photoreceptor segments,not_accepted
thinning of the whole retina,phenotype,False,,C5936309,True,False,,,,thinning of the whole retina,expert_cui
thoght-related concerns,phenotype,False,,,False,True,Thought disorder,C2115875,,thoght-related concerns,not_accepted
toxic lysophospholipid accumulation,cellular_component,False,,,True,False,,,,toxic lysophospholipid accumulation,expert_accept_unresolved
transacylation reaction,biological_process,False,,C0597598,True,False,,,,transacylation reaction,expert_cui
transcutaneous vagal stimulation,drug,False,,C1293903,True,False,,,,transcutaneous vagal stimulation,expert_cui
transient withdrawal of parasympathetic activity,phenotype,False,,,False,True,Reduced parasympathetic activity,C5780518,,transient withdrawal of parasympathetic activity,not_accepted
tumor microenvironment regulation,biological_process,False,,C2936626,True,False,,,,tumor microenvironment regulation,expert_cui
ultrahigh frequency - transcutaneous electrical nerve stimulation,drug,False,,C0040654,True,False,,,,ultrahigh frequency - transcutaneous electrical nerve stimulation,expert_cui
unconventional secretory pathway,biological_process,False,,C1159342,True,False,,,,unconventional secretory pathway,expert_cui
unusual elevation of lyso-sphingomyelin-509,phenotype,False,,,True,False,,,,unusual elevation of lyso-sphingomyelin-509,expert_accept_unresolved
unwillingness to cooperate,phenotype,False,,,False,True,Uncooperative behavior,C0424350,,unwillingness to cooperate,not_accepted
various forms of abnormal movement.,phenotype,False,,C0558189,True,False,,,,various forms of abnormal movement.,expert_cui
visual activity decline,phenotype,False,,,False,True,Progressive visual deterioration,C4231533,,visual activity decline,not_accepted
visual decline,phenotype,False,,,False,True,Progressive visual deterioration,C4231533,,visual decline,not_accepted
widespread gliosis,phenotype,False,,C0017639,True,False,,,,widespread gliosis,expert_cui
wild-type hematopoietic stem and progenitor cells,Gene therapy,False,,C0018956,True,False,,,,wild-type hematopoietic stem and progenitor cells,expert_cui
