cas_reg_no,umls_cui,relationship_name
175481-36-4,C0014544,indication
134678-17-4,C0019163,indication
134678-17-4,C0524909,indication
134678-17-4,C0041296,indication
84057-84-1,C0005587,indication
103577-45-3,C0014868,indication
103577-45-3,C1838332,indication
130209-82-4,C0017601,indication
75706-12-6,C0003864,indication
112809-51-5,C0032460,indication
102767-28-2,C0014544,indication
130018-77-8,C0035455,indication
130018-77-8,C0035457,indication
130018-77-8,C0042109,indication
59-92-7,C0030567,indication
100986-85-4,C1838332,indication
100986-85-4,C0032285,indication
51-48-9,C0271790,indication
1025967-78-5,C0013238,indication
76547-98-3,C0085580,indication
554-13-2,C0005587,indication
554-13-2,C1269683,indication
114798-26-4,C0011881,indication
114798-26-4,C0085580,indication
367514-87-2,C0005587,indication
53230-10-7,C0024530,indication
19982-08-2,C0750901,indication
50-44-2,C0023453,indication
50-44-2,C0023418,indication
96036-03-2,C0243026,indication
96036-03-2,C1719672,indication
89-57-6,C0009324,indication
657-24-9,C0011860,indication
657-24-9,C0032460,indication
657-24-9,C0036337,indication
55-92-5,C0004096,indication
76-99-3,C0019196,indication
76-99-3,C0524662,indication
76-99-3,C0038580,indication
59-05-2,C0038013,indication
59-05-2,C0003864,indication
59-05-2,C0010346,indication
83-43-2,C0024143,indication
83-43-2,C0037199,indication
364-62-5,C0338480,indication
51384-51-1,C0004238,indication
51384-51-1,C0085580,indication
443-48-1,C0031106,indication
235114-32-6,C0006840,indication
22916-47-8,C0006840,indication
59467-70-8,C0393851,indication
223673-61-8,C0878773,indication
59122-46-2,C4552766,indication
83919-23-7,C0035455,indication
83919-23-7,C0035457,indication
105102-22-5,C0035457,indication
158966-92-8,C0004096,indication
158966-92-8,C0035455,indication
57-27-2,C0036439,indication
128794-94-5,C3496337,indication
128794-94-5,C0024143,indication
128794-94-5,C0042384,indication
465-65-6,C0019337,indication
16590-41-3,C0085762,indication
22204-53-1,C0038358,indication
118457-14-0,C0085580,indication
59-67-6,C0004153,indication
59-67-6,C0020443,indication
641571-10-0,C0279543,indication
55-63-0,C0151744,indication
1400-61-9,C0006840,indication
132539-06-1,C0005586,indication
132539-06-1,C0005587,indication
132539-06-1,C0036337,indication
132539-06-1,C0270496,indication
144689-24-7,C0085580,indication
868049-49-4,C0024117,indication
1258226-87-7,C0524910,indication
73590-58-6,C0014868,indication
99614-02-5,C0017160,indication
61825-94-3,C0009402,indication
28721-07-5,C0014544,indication
7782-44-7,C1145670,indication
33069-62-4,C0345958,indication
131918-61-1,C0020502,indication
131918-61-1,C0020503,indication
131918-61-1,C0042870,indication
1216941-48-8,C0524910,indication
61869-08-7,C0005587,indication
61869-08-7,C0041696,indication
137281-23-3,C0007131,indication
137071-32-0,C0011615,indication
171228-49-2,C0023530,indication
7447-40-7,C0085580,indication
104632-26-0,C0030567,indication
104632-26-0,C0035258,indication
150322-43-3,C0002965,indication
150322-43-3,C0010054,indication
150322-43-3,C1956346,indication
150322-43-3,C0027051,indication
150322-43-3,C1536220,indication
81093-37-0,C0020473,indication
55268-74-1,C0036323,indication
55268-74-1,C0036330,indication
52-21-1,C0086543,indication
53-03-2,C3658267,indication
53-03-2,C0042384,indication
90-34-6,C0024530,indication
57-83-0,C0025322,indication
98-96-4,C0041296,indication
111974-69-7,C0024517,indication
111974-69-7,C1269683,indication
111974-69-7,C0036337,indication
111974-69-7,C0270496,indication
130-95-0,C0024530,indication
84449-90-1,C0029453,indication
84449-90-1,C0029456,indication
196597-26-9,C0751249,indication
196597-26-9,C0033139,indication
196597-26-9,C0021603,indication
87333-19-5,C0004153,indication
87333-19-5,C0085580,indication
95635-55-5,C2973725,indication
136236-51-6,C0030567,indication
36791-04-5,C0002878,indication
36791-04-5,C1623038,indication
36791-04-5,C0019196,indication
36791-04-5,C0524910,indication
36791-04-5,C0023890,indication
13292-46-1,C0041296,indication
106266-06-2,C0236792,indication
106266-06-2,C0004352,indication
106266-06-2,C0005586,indication
106266-06-2,C0497327,indication
106266-06-2,C0012734,indication
106266-06-2,C0029121,indication
106266-06-2,C0036337,indication
