,entity1,entity2,entity_type1,entity_type2,Relation,PMID,entity1_status,entity2_status,entity1_suggested_name,entity2_suggested_name,second_search_suggested_name
173,white matter,Canavan disease,anatomy,disease, anatomy_disease,38880823,in_kg,in_kg,,,
174,globus pallidus,Canavan disease,anatomy,disease, anatomy_disease,38880823,in_kg,in_kg,,,
175,putamen,Canavan disease,anatomy,disease, anatomy_disease,38880823,in_kg,in_kg,,,
176,caudate,Canavan disease,anatomy,disease, anatomy_disease,38880823,C0007461|C0162512,in_kg,caudate-putamen,,caudate-putamen
177,claustrum,Canavan disease,anatomy,disease, anatomy_disease,38880823,C0008910,in_kg,,,
178,lateral thalamus,Canavan disease,anatomy,disease, anatomy_disease,38880823,C0228341,in_kg,lateral posterior nucleus of thalamus,,lateral posterior nucleus of thalamus
179,pulvinar,Canavan disease,anatomy,disease, anatomy_disease,38880823,C0152347|C0262299,in_kg,pulvinar nucleus,,pulvinar nucleus
180,internal capsules,Canavan disease,anatomy,disease, anatomy_disease,38880823,C0152341,in_kg,,,
181,corpus callosum,Canavan disease,anatomy,disease, anatomy_disease,38880823,in_kg,in_kg,,,
185,Canavan disease,ASPA,disease,protein/gene,disease_protein,39119446,in_kg,in_kg,,,
186,Canavan disease,hypotonia,disease,phenotype,disease_phenotype_positive,39119446,in_kg,in_kg,,,
187,Canavan disease,macrocephaly,disease,phenotype,disease_phenotype_positive,39119446,in_kg,in_kg,,,
188,Canavan disease,deafness,disease,phenotype,disease_phenotype_positive,39119446,in_kg,C0011053,,,
190,Canavan disease,blindness,disease,phenotype,disease_phenotype_positive,39119446,in_kg,in_kg,,,
191,Canavan disease,brain atrophy,disease,phenotype,disease_phenotype_positive,39119446,in_kg,in_kg,,,
192,leukodystrophy,Canavan disease,disease,disease,disease_disease,39119446,in_kg,in_kg,,,
196,Canavan disease,intramyelinic vacuoles,disease,phenotype,disease_phenotype_positive,39119446,in_kg,C6016430,,Nonrimmed muscle vacuoles,Nonrimmed muscle vacuoles
197,Canavan disease,edema,disease,phenotype,disease_phenotype_positive,39119446,in_kg,in_kg,,,
200,Canavan disease,delayed closure of the anterior fontanel,disease,phenotype,disease_phenotype_positive,39119446,in_kg,C3840083,,Delayed closure of the anterior fontanelle,Delayed closure of the anterior fontanelle
201,Canavan disease,optic atrophy,disease,phenotype,disease_phenotype_positive,39119446,in_kg,in_kg,,,
202,Canavan disease,spasticity,disease,phenotype,disease_phenotype_positive,39119446,in_kg,in_kg,,,
203,Canavan disease,seizures,disease,phenotype,disease_phenotype_positive,39119446,in_kg,C0036572,,,
204,Canavan disease,opisthotonus,disease,phenotype,disease_phenotype_positive,39119446,in_kg,in_kg,,,
205,Canavan disease,cerebral delayed posture,disease,phenotype,disease_phenotype_positive,39119446,in_kg,C4703721,,Compensatory head posture,Compensatory head posture
208,posterior fossa,Canavan disease,anatomy,disease, anatomy_disease,39119446,C1116439,in_kg,,,
209,corpus callosum genus,Canavan disease,anatomy,disease, anatomy_disease,39119446,C0010090|C0152321,in_kg,corpus callosum,,corpus callosum
210,capsule,Canavan disease,anatomy,disease, anatomy_disease,39119446,in_kg,in_kg,,,
211,Canavan disease,ASPA,disease,protein/gene,disease_protein,39128657,in_kg,in_kg,,,
216,white matter,Canavan disease,anatomy,disease, anatomy_disease,39524158,in_kg,in_kg,,,
224,leukodystrophy,Canavan disease,disease,disease,disease_disease,39628365,in_kg,in_kg,,,
225,Canavan disease,ASPA,disease,protein/gene,disease_protein,39628365,in_kg,in_kg,,,
227,Canavan disease,psychomotor deficits,disease,phenotype,disease_phenotype_positive,39628365,in_kg,C2921139|C4025360,,Functional motor deficit,Functional motor deficit
228,Canavan disease,motor milestones,disease,phenotype,disease_phenotype_negative,39628365,in_kg,C3807655,,,
233,Canavan disease,ASPA,disease,protein/gene,disease_protein,38740822,in_kg,in_kg,,,
234,lethal neurological disorder,Canavan disease,disease,disease,disease_disease,38740822,C4225256|C4304741,in_kg,lethal Larsen-like syndrome,,lethal Larsen-like syndrome
237,Canavan disease,ASPA,disease,protein/gene,disease_protein,38740822,in_kg,in_kg,,,
241,Canavan disease,ASPA,disease,protein/gene,disease_phenotype_positive,38740822,in_kg,in_kg,,,
242,Canavan disease,CRNDE,disease,protein/gene,disease_protein,38822362,in_kg,in_kg,,,
248,neural stem cell,Canavan disease,Cell therapy,disease,drug_effect,34446995,C1113654,in_kg,,,
250,Topiramate,Canavan disease,drug,disease,drug_effect,38582917,in_kg,in_kg,,,
