entity1,entity2,entity_type1,entity_type2,Relation,PMID,entity1_status,entity2_status,integratable
Niemann-Pick Disease Type C,increased membrane contact sites,disease,phenotype,disease_phenotype_positive,38302739,in_kg,C2828354,True
Niemann-Pick Disease Type C,early neurodevelopmental disturbance,disease,phenotype,disease_phenotype_positive,37612148,in_kg,C1970828,True
Niemann-Pick type C disease,autosomal recessive lysosomal disorder,disease,phenotype,disease_phenotype_positive,34455703,C0220756,C0085078,True
accumulation of lipids,cellular organelles,phenotype,cellular_component,exposure_cellcomp,34455703,C1512921,C0029219,True
Niemann-Pick Disease Type C,idiopathic neonatal cholestasis,disease,phenotype,disease_phenotype_positive,34455703,in_kg,C1112213,True
NPC1,cellular organelles,protein/gene,cellular_component,cellcomp_protein,34455703,in_kg,C0029219,True
Niemann-Pick Disease Type C,visceral manifestations,disease,phenotype,disease_phenotype_positive,36325261,in_kg,C5960196,True
Niemann-Pick Disease Type C,abnormal cholesterol accumulation,disease,phenotype,disease_phenotype_positive,36325261,in_kg,C3553603,True
Niemann-Pick Disease Type C,abnormal cholesterol accumulation,disease,phenotype,disease_phenotype_positive,36325261,in_kg,C3553603,True
Niemann-Pick type C,elevated 7-ketocholesterol,disease,anatomy,disease_phenotype_positive,36325261,C0220756,C0049920,True
Niemann-Pick type C,elevated oxysterols,disease,anatomy,disease_phenotype_positive,36325261,C0220756,C4277571,True
cationic amphiphilic agents,phospholipidosis,drug,phenotype,drug_effect,36325261,C0016365,C3805040,True
elevated oxysterols,NPC1,phenotype,protein/gene,phenotype_protein,36325261,C4277571,in_kg,True
Niemann-Pick Disease Type C,oculomotor dysfunction,disease,phenotype,bioprocess_protein,34086834,in_kg,C0497202,True
Niemann-Pick type C,oculomotor dysfunction,disease,phenotype,disease_phenotype_positive,34086834,C0220756,C0497202,True
Niemann-Pick disease type C,vertical supranuclear saccade palsy,disease,phenotype,disease_phenotype_positive,34096670,in_kg,C1843369,True
Niemann-Pick disease type C,ocular-motor dysfunction,disease,phenotype,disease_phenotype_positive,34096670,in_kg,C0497202,True
Niemann-Pick disease type C,early cholestatic disease,disease,disease,disease_disease,34138521,in_kg,C1859162,True
Niemann-Pick Type C disease,progressive neurovisceral manifestations,disease,phenotype,disease_phenotype_positive,34150357,C0220756,C0027854,True
Niemann-Pick Type C disease,accumulation of intracellular unesteri ed cholesterol,disease,phenotype,disease_phenotype_positive,34150357,C0220756,C3553603,True
Niemann-Pick Type C disease,neuro lament light,disease,protein/gene,disease_protein,34150357,C0220756,C5774172,True
acid ceramidase,oxidative stress-mediated cell death,protein/gene,phenotype,phenotype_protein,34175669,C2350443,C3546229,True
N-acetyl-l-leucine,cerebral glucose metabolism,drug,biological_process,drug_bioprocess,34387740,C4547971,C0596620,True
arimoclomol,improve lysosomal function,drug,phenotype,drug_effect,34418116,in_kg,C1372391,True
heat shock response 70,NPC1,protein/gene,protein/gene,protein_protein,34418116,C0243043,in_kg,True
pathways of liver damage,NPC1,pathway,protein/gene,pathway_protein,34440927,C0151763,in_kg,True
against oxidative,peroxisome proliferator-activated receptor-γ,phenotype,protein/gene,phenotype_protein,34502342,C3894362,C0166417,True
inflammatory damage,peroxisome proliferator-activated receptor-γ,phenotype,protein/gene,phenotype_protein,34502342,C1817415,C0166417,True
Telmisartan,peroxisome proliferator-activated receptor-γ,drug,protein/gene,drug_protein,34502342,in_kg,C0166417,True
Niemann-Pick Disease Type C,initial psychopharmacology,disease,phenotype,disease_phenotype_positive,34744838,in_kg,C0033929,True
rare lysosomal storage disorder,Niemann-Pick Disease Type C1,disease,disease,disease_disease,34830064,C0085078,C3179455,True
progressive lysosomal storage disorder,Niemann-Pick Disease Type C1,disease,disease,disease_disease,35007562,C0085078,C3179455,True
increased plasma granulocyte-colony stimulating factor by 2-fold,NPC1,phenotype,protein/gene,phenotype_protein,35007562,C4552323,in_kg,True
lysosomal storage defects,NPC,disease,phenotype,disease_phenotype_positive,35016719,C0085078,C2931822,True
Niemann-Pick disease type C,an autosomal recessive hereditary disease,disease,disease,disease_disease,36199263,in_kg,C0265388,True
N-butyldeoxynojirimycin,glucosyl ceramide synthase,drug,protein/gene,drug_protein,35140266,C1321596,C4283742,True
miglustat,glucosyl ceramide synthase,drug,protein/gene,drug_protein,35140266,in_kg,C4283742,True
Zavesca,glucosyl ceramide synthase,drug,protein/gene,drug_protein,35140266,C1174772,C4283742,True
Niemann-Pick type C disease,increasing adenosine levels,disease,phenotype,disease_phenotype_positive,35408815,C0220756,C1863254,True
T1-11,increase adenosine levels,molecular_function,phenotype,off_label_use,35408815,C4308067,C1863254,True
Niemann-Pick Disease Type C1,complex asparagine-linked glycosylation,disease,biological_process,disease_protein,35563467,C3179455,C1623028,True
cellular signaling,complex asparagine-linked glycosylation,biological_process,biological_process,disease_protein,35563467,C3895299,C1623028,True
protein stability,complex asparagine-linked glycosylation,biological_process,biological_process,disease_protein,35563467,C2350440,C1623028,True
complex asparagine-linked glycosylation,"lysosome-associated membrane
protein 1",biological_process,protein/gene,bioprocess_protein,35563467,C1623028,C1416788,True
complex asparagine-linked glycosylation,MGAT5,biological_process,protein/gene,disease_phenotype_positive,35563467,C1623028,in_kg,True
Anti-Tumor Necrosis Factor Therapy,caused neurological side effects,drug,phenotype,drug_effect,35694196,C0281481,C0421229,True
Anti-Tumor Necrosis Factor Therapy,caused demyelination,drug,phenotype,drug_effect,35694196,C0281481,C0011304,True
Anti-Tumor Necrosis Factor Therapy,caused central nervous system inflammation,drug,phenotype,drug_effect,35694196,C0281481,C0178264,True
2-hydroxypropyl-γ-cyclodextrin,U18666A,drug,drug,drug_drug,35891519,C4522177,C0077608,True
2-hydroxypropyl-γ-cyclodextrin,cholesterol accumulation,drug,phenotype,drug_effect,35891519,C4522177,C5436605,True
2-hydroxypropyl-γ-cyclodextrin,cholesterol accumulation,drug,phenotype,drug_effect,35891519,C4522177,C5436605,True
Niemann-Pick type C,Neuropsychiatric manifestations,disease,phenotype,disease_phenotype_positive,35945383,C0220756,C3203509,True
mycobacterial cell wall lipids,NPC1,exposure,protein/gene,exposure_protein,36085278,C0026931,in_kg,True
Niemann-Pick disease Type C,stimulus-sensitive myoclonus,disease,phenotype,disease_phenotype_positive,36187872,in_kg,C3554567,True
isogenic induced pluripotent stem cells,NPC1,anatomy,protein/gene,anatomy_protein_present,36301667,C2717959,in_kg,True
NPC1,cholesterol dyshomeostasis,protein/gene,phenotype,phenotype_protein,36322609,in_kg,C1843372,True
NPC2,cholesterol dyshomeostasis,protein/gene,phenotype,phenotype_protein,36322609,in_kg,C1843372,True
NPC1,robust phagocytic activity,protein/gene,phenotype,phenotype_protein,36322609,in_kg,C1372517,True
NPC1,shortfalls in fine odor discrimination,protein/gene,phenotype,phenotype_protein,36322609,in_kg,C4013074,True
2-hydroxypropyl-beta-cyclodextrin,brain capillary endothelial cells,drug,anatomy,drug_effect,36431844,C0046237,C1180238,True
