row_index,disease_cohort,source_file,entity1,entity2,Relation,PMID,reason,entity2_status,entity1_status
10,Canavan,Canavan_final.csv,Canavan disease,ASPA,disease_protein,37601414,duplicate_literature_row,,
11,Canavan,Canavan_final.csv,leukodystrophy,Canavan disease,disease_disease,37610133,duplicate_literature_row,,
12,Canavan,Canavan_final.csv,Canavan disease,ASPA,disease_protein,37610133,duplicate_literature_row,,
14,Canavan,Canavan_final.csv,Canavan disease,Aspa,disease_protein,38011891,duplicate_literature_row,,
16,Canavan,Canavan_final.csv,Leukodystrophy,Canavan disease,disease_phenotype_positive,38282243,duplicate_literature_row,,
18,Canavan,Canavan_final.csv,Canavan disease,vacuolation,disease_phenotype_positive,38538326,unresolved_entity2,C0010840,
27,Canavan,Canavan_final.csv,leukodystrophy,Canavan disease,disease_disease,34446995,duplicate_literature_row,,
33,Canavan,Canavan_final.csv,Canavan disease,hypotonia,disease_phenotype_positive,34477360,duplicate_literature_row,,
34,Canavan,Canavan_final.csv,Canavan disease,macrocephaly,disease_phenotype_positive,34477360,duplicate_literature_row,,
35,Canavan,Canavan_final.csv,vacuolar leukodystrophy,CANAVAN disease,disease_disease,34498299,duplicate_literature_row,,
37,Canavan,Canavan_final.csv,Canavan disease,hypotonia,,34498299,empty_relation,,
38,Canavan,Canavan_final.csv,leukodystropy,Canavan disease,disease_disease,34723085,duplicate_literature_row,,
39,Canavan,Canavan_final.csv,Canavan disease,macrocephaly,disease_phenotype_positive,34723085,duplicate_literature_row,,
40,Canavan,Canavan_final.csv,Canavan disease,neurologic impairment,disease_phenotype_positive,34723085,duplicate_literature_row,,
41,Canavan,Canavan_final.csv,Canavan disease,leukodystrophy,disease_disease,36568275,duplicate_literature_row,,
42,Canavan,Canavan_final.csv,Canavan disease,ASPA,disease_protein,36568275,duplicate_literature_row,,
43,Canavan,Canavan_final.csv,leukodystrophy,Canavan disease,disease_disease,36968992,duplicate_literature_row,,
44,Canavan,Canavan_final.csv,canavan disease,seizures,disease_phenotype_positive,36968992,duplicate_literature_row,,
47,Canavan,Canavan_final.csv,leukodystrophy,Canavan disease,disease_disease,37149081,duplicate_literature_row,,
48,Canavan,Canavan_final.csv,canavan disease,ASPA,disease_protein,37149081,duplicate_literature_row,,
50,Canavan,Canavan_final.csv,Canavan disease,large vacuole,disease_phenotype_positive,37149081,unresolved_entity2,C1853189,
51,Canavan,Canavan_final.csv,Canavan disease,death,disease_phenotype_positive,37149081,unresolved_entity2,C1306577,
52,Canavan,Canavan_final.csv,Canavan disease,ASPA,disease_protein,37271923,duplicate_literature_row,,
53,Canavan,Canavan_final.csv,Canavan disease,vacuolation,disease_phenotype_positive,37271923,unresolved_entity2,C0010840,
55,Canavan,Canavan_final.csv,spongy leukodystrophy,Canavan disease,disease_disease,38544400,duplicate_literature_row,,
56,Canavan,Canavan_final.csv,Canavan disease,ASPA,disease_protein,38544400,duplicate_literature_row,,
57,Canavan,Canavan_final.csv,Canavan disease,ASPA,disease_protein,38718669,duplicate_literature_row,,
58,Canavan,Canavan_final.csv,white matter,Canavan disease, anatomy_disease,38880823,unsupported_relation:anatomy_disease,,
59,Canavan,Canavan_final.csv,globus pallidus,Canavan disease, anatomy_disease,38880823,unsupported_relation:anatomy_disease,,
60,Canavan,Canavan_final.csv,putamen,Canavan disease, anatomy_disease,38880823,unsupported_relation:anatomy_disease,,
61,Canavan,Canavan_final.csv,caudate,Canavan disease, anatomy_disease,38880823,unsupported_relation:anatomy_disease,,
62,Canavan,Canavan_final.csv,claustrum,Canavan disease, anatomy_disease,38880823,unsupported_relation:anatomy_disease,,
63,Canavan,Canavan_final.csv,lateral thalamus,Canavan disease, anatomy_disease,38880823,unsupported_relation:anatomy_disease,,
64,Canavan,Canavan_final.csv,pulvinar,Canavan disease, anatomy_disease,38880823,unsupported_relation:anatomy_disease,,
65,Canavan,Canavan_final.csv,internal capsules,Canavan disease, anatomy_disease,38880823,unsupported_relation:anatomy_disease,,
66,Canavan,Canavan_final.csv,corpus callosum,Canavan disease, anatomy_disease,38880823,unsupported_relation:anatomy_disease,,
67,Canavan,Canavan_final.csv,Canavan disease,ASPA,disease_protein,39119446,duplicate_literature_row,,
68,Canavan,Canavan_final.csv,Canavan disease,hypotonia,disease_phenotype_positive,39119446,duplicate_literature_row,,
69,Canavan,Canavan_final.csv,Canavan disease,macrocephaly,disease_phenotype_positive,39119446,duplicate_literature_row,,
73,Canavan,Canavan_final.csv,leukodystrophy,Canavan disease,disease_disease,39119446,duplicate_literature_row,,
79,Canavan,Canavan_final.csv,Canavan disease,seizures,disease_phenotype_positive,39119446,duplicate_literature_row,,
82,Canavan,Canavan_final.csv,posterior fossa,Canavan disease, anatomy_disease,39119446,unsupported_relation:anatomy_disease,,
83,Canavan,Canavan_final.csv,corpus callosum genus,Canavan disease, anatomy_disease,39119446,unsupported_relation:anatomy_disease,,
84,Canavan,Canavan_final.csv,capsule,Canavan disease, anatomy_disease,39119446,unsupported_relation:anatomy_disease,,
85,Canavan,Canavan_final.csv,Canavan disease,ASPA,disease_protein,39128657,duplicate_literature_row,,
86,Canavan,Canavan_final.csv,white matter,Canavan disease, anatomy_disease,39524158,unsupported_relation:anatomy_disease,,
87,Canavan,Canavan_final.csv,leukodystrophy,Canavan disease,disease_disease,39628365,duplicate_literature_row,,
88,Canavan,Canavan_final.csv,Canavan disease,ASPA,disease_protein,39628365,duplicate_literature_row,,
90,Canavan,Canavan_final.csv,Canavan disease,motor milestones,disease_phenotype_negative,39628365,unresolved_entity2,C3807655,
91,Canavan,Canavan_final.csv,Canavan disease,ASPA,disease_protein,38740822,duplicate_literature_row,,
94,Canavan,Canavan_final.csv,Canavan disease,ASPA,disease_phenotype_positive,38740822,duplicate_literature_row,,
96,Canavan,Canavan_final.csv,neural stem cell,Canavan disease,drug_effect,34446995,unresolved_entity1,,C1113654
98,Canavan,Canavan_additional.csv,inverted echogenicity,cortical gray,pathology_anatomy_present,35187608,unsupported_relation:pathology_anatomy_present,,
99,Canavan,Canavan_additional.csv,inverted echogenicity,subcortical white matter,pathology_anatomy_present,35187608,unsupported_relation:pathology_anatomy_present,,
100,Canavan,Canavan_additional.csv,Canavan disease,progressive cognitive and motor,disease_phenotype_positive,37610133,unresolved_entity2,C5233137|C5233139,
101,Canavan,Canavan_additional.csv,Canavan disease,astroglial vacuolation,disease_phenotype_positive,37610133,unresolved_entity2,C5206989,
102,Canavan,Canavan_additional.csv,Canavan disease,astroglial  vacuolation,disease_phenotype_positive,38282243,unresolved_entity2,C5206989,
103,Canavan,Canavan_additional.csv,dilated perivascular spaces,bifrontal regions,pathology_anatomy_present,40298596,unsupported_relation:pathology_anatomy_present,,
104,Canavan,Canavan_additional.csv,Canavan disease,demylination,disease_phenotype_positive,37271923,unresolved_entity2,C0011304,
121,Batten,Batten_final.csv,respiratory failure,death,phenotype_phenotype,34491000,unresolved_entity2,C1306577,
132,Batten,Batten_final.csv,astrocytic,Gfap,anatomy_protein_present,34749772,unresolved_entity1,,C0521395
133,Batten,Batten_final.csv,astrocytic,C4b,anatomy_protein_present,34749772,unresolved_entity1,,C0521395
134,Batten,Batten_final.csv,astrocytic,Osmr,anatomy_protein_present,34749772,unresolved_entity1,,C0521395
135,Batten,Batten_final.csv,microglial,Ctss,anatomy_protein_present,34749772,unresolved_entity1,,C0521398
136,Batten,Batten_final.csv,microglial,Itgb2,anatomy_protein_present,34749772,unresolved_entity1,,C0521398
137,Batten,Batten_final.csv,microglial,Itgax,anatomy_protein_present,34749772,unresolved_entity1,,C0521398
142,Batten,Batten_final.csv,SPG11,reduced strength during walking,disease_phenotype_positive,35605667,unresolved_entity2,C2674511,
144,Batten,Batten_final.csv,adaptive immune system,SPG11,bioprocess_disease,35605667,unsupported_relation:bioprocess_disease,,
147,Batten,Batten_final.csv,Infantile neuronal ceroid lipofuscinosis,premature death,disease_phenotype_positive,35628400,unresolved_entity2,C1855073,
148,Batten,Batten_final.csv,microglial activation,seizures,pathology_phenotype,35628400,unsupported_relation:pathology_phenotype,,
153,Batten,Batten_final.csv,neuronal ceroid lipofuscinoses,ataxia,disease_phenotype_positive,34868216,duplicate_literature_row,,
155,Batten,Batten_final.csv,neuronal ceroid lipofuscinoses,premature death,disease_phenotype_positive,34868216,duplicate_literature_row,,
161,Batten,Batten_final.csv,neuronal ceroid lipofuscinoses,progressive retinal degeneration,disease_phenotype_positive,35033660,duplicate_literature_row,,
162,Batten,Batten_final.csv,lysosomal storage diseases,neuronal ceroid lipofuscinoses,disease_disease,35033660,duplicate_literature_row,,
167,Batten,Batten_final.csv,Adult Neuronal Ceroid Lipofuscinosis,DNAJC5,disease_protein,36282524,duplicate_literature_row,,
168,Batten,Batten_final.csv,neurodegenerative disorder,Adult Neuronal Ceroid Lipofuscinosis,disease_disease,36282524,duplicate_literature_row,,
169,Batten,Batten_final.csv,Adult Neuronal Ceroid Lipofuscinosis,premature death,disease_phenotype_positive,36282524,duplicate_literature_row,,
177,Batten,Batten_final.csv,neurodegenerative lysosomal storage disorders,Neuronal ceroid lipofuscinoses,disease_disease,35921411,duplicate_literature_row,,
179,Batten,Batten_final.csv,neurodegenerative lysosomal storage disorder,neuronal ceroid lipofuscinosis,disease_disease,36040802,duplicate_literature_row,,
182,Batten,Batten_final.csv,Neuronal Ceroid Lipofuscinoses,CLN6,disease_protein,36088080,duplicate_literature_row,,
203,Batten,Batten_final.csv,progressive neurological disorder,loss of coordination,disease_phenotype_positive,35447247,unresolved_entity2,C2751891|C3552909,
207,Batten,Batten_final.csv,Adult-onset Neuronal ceroid lipofuscinosis,DNAJC5,disease_protein,35462699,duplicate_literature_row,,
211,Batten,Batten_final.csv,gemfibrozil,neuroinflammation,drug_bioprocess,36697260,unsupported_relation:drug_bioprocess,,
220,Batten,Batten_final.csv,neurodegenerative disorder,neuronal ceroid lipofuscinoses,disease_disease,36876653,duplicate_literature_row,,
221,Batten,Batten_final.csv,berberine,autophagy,drug_bioprocess,36880056,unsupported_relation:drug_bioprocess,,
223,Batten,Batten_final.csv,resveratrol,mitochondrial biogenesis,drug_bioprocess,36880056,unsupported_relation:drug_bioprocess,,
234,Batten,Batten_final.csv,neuronal ceroid lipofuscinosis,CLN6,disease_protein,37074398,duplicate_literature_row,,
235,Batten,Batten_final.csv,neuronal ceroid lipofuscinosis,CLN3,disease_protein,37074398,duplicate_literature_row,,
240,Batten,Batten_final.csv,lysosomal storage disorder,neuronal ceroid lipofuscinoses,disease_disease,37209872,duplicate_literature_row,,
244,Batten,Batten_final.csv,adult-onset neuronal ceroid lipofuscinoses,DNAJC5,disease_protein,37566176,duplicate_literature_row,,
245,Batten,Batten_final.csv,DNAJC5,cysteine string protein,protein_protein,37566176,unresolved_entity2,C0288968,
246,Batten,Batten_final.csv,cysteine string protein,oxidative stress inhibition,bioprocess_protein,37566176,unresolved_entity1,,C0288968
251,Batten,Batten_final.csv,cerliponase alfa,slowed language function decline,drug_effect,38101904,duplicate_literature_row,,
254,Batten,Batten_final.csv,adult-onset neuronal ceroid lipofuscinosis,DNAJC5,disease_protein,38193346,duplicate_literature_row,,
255,Batten,Batten_final.csv,juvenile neuronal ceroid lipofuscinosis,CLN3,disease_protein,38195117,duplicate_literature_row,,
257,Batten,Batten_final.csv,neuronal ceroid lipofuscinosis,seizures,disease_phenotype_positive,38249738,duplicate_literature_row,,
