doi/PMID,Abtract/Introduction,Journal type,experiment,model,relation ,display_relation,x_name ,x_type ,y_name,y_type,note,expert opinion
38740822,Introduction (last paragraph),Article,in vivo,human,bioprocess_protein,,PQC degradation,biological_process,ASPA,protein/gene,,
38740822,Introduction (last paragraph),Article,in vivo,human,phenotype_protein,,toxic,phenotype,ASPA,protein/gene,,
38740822,Introduction (last paragraph),Article,in vivo,human,disease_phenotype_positive,,Canavan disease,disease,ASPA,protein/gene,,
38822362,Abtract,Article,in vivo,human,disease_protein,,Canavan disease,disease,CRNDE,protein/gene,,
39587614,Abtract,Article,in vivo,human,disease_protein,associated with,Canavan disease,disease,NAA,protein/gene,,
34446995,other part,Article,in vivo,human,drug_effect,,Lithium citrate,drug,NAA,amino acid,lithium citrate that decreases central nervous system NAA levels,
34446995,other part,Article,in vivo,human,drug_effect,,Glyceryl triacetate,GRAS/Excipient/prodrug, acetate donor,biological_process,glyceryl triacetate as an acetate donor...have been attempted with variable success.,
34446995,other part,Article,in vivo,human,drug_effect,,Triheptanoin,drug,energy substrate,biological_process, triheptanoin as an energy substrate...have been attempted with variable success.,
34446995,other part,Article,in vivo,human,drug_effect,,Lipoic acid,drug, antioxidant,biological_process,lipoic acid as an antioxidant...have been attempted with variable success.,
34446995,other part,Article,in vivo,human,drug_effect,,neural stem cell,Cell therapy,Canavan disease,disease,use of neural stem cell ...have been attempted with variable success.,
34446995,other part,Article,in vivo,human,drug_effect,,recombinant adeno‑associated virus,Gene therapy,Canavan disease,disease,gene therapy using recombinant adeno‑associated virus...have been attempted with variable success.,
38582917,other part,Review,in vivo,human,drug_effect,,Topiramate,drug,Canavan disease,disease,"The anti-epileptic drug topiramate was also reported to slow head growth in two CD patients, though the mechanisms remain poorly understood [253]",
