doi/PMID,Abtract/Introduction,Journal type,experiment,model,relation ,display_relation,x_name ,x_type ,y_name,y_type,note,expert opinion
37610133,Abtract,Article,"in vivo, in vitro",mice,drug_effect,,antisense oligonucleotide (ASO),drug,NAA,protein/gene,"reduced, NAA: acid amin",
37867939,Abtract,article,ex vivo,, anatomy_disease,,brain,anatomy,Myelin disorders,disease,,
37867939,Abtract,article,ex vivo,,anatomy_protein_present,,myelin sheaths,anatomy,N-acetyl-aspartate (NAA),protein/gene,high-level NAA is sufficient to induce toxicity on myelin sheaths.,
37867939,Introduction,article,ex vivo,,,,Myelin,protein/gene,oligodendrocyte,,y_type: cell ,
38011891,Abtract,article,in vivo,,disease_protein,, Canavan disease,disease,Aspa,protein/gene,,
38011891,Abtract,article,in vivo,,disease_phenotype_positive,,Leukodystrophy,disease, Canavan disease,phenotype,,
38011891,Abtract,article,in vivo,,phenotype_protein,,Spongiform myelin,phenotype,N-acetylaspartate (NAA),protein/gene,,
38011891,Abtract,article,in vivo,,protein_protein,,N-acetylaspartylglutamate (NAAG),protein/gene,N-acetylaspartate (NAA),protein/gene,bố-con,
38011891,Abtract,article,in vivo,,protein_protein,,N-acetylaspartylglutamate (NAAG),protein/gene,Glutamate carboxypeptidases ,protein/gene,,
38011891,Abtract,article,in vivo,, bioprocess_protein,,Astrogliosis,biological_process,Rimkla,protein/gene,,
38011891,Abtract,article,in vivo,, bioprocess_protein,,Astrogliosis,biological_process,Rimklb,protein/gene,,
38011891,Introduction,article,in vivo,,protein_protein,,Glutamate carboxypeptidases ,protein/gene,Glutamate carboxypeptidases II ( GCPII) ,protein/gene,,
38011891,Introduction,article,in vivo,,protein_protein,,N-acetylaspartylglutamate (NAAG),protein/gene,Glutamate carboxypeptidases II ( GCPII) ,protein/gene,,
38260594,Abtract,article,,,bioprocess_protein,,HIF1a-glycolysis,biological_process, IFN-γ ,protein/gene,,
38260594,Abtract,article,,,protein_protein,,VHL deletion (VHL–/– 32 ) ,protein/gene, IFN-γ ,protein/gene,,
38260594,Abtract,article,,,bioprocess_protein,,HIF1α,protein/gene,activation-induced cell death,biological_process,,
38260594,Abtract,article,,,,,glycerol triacetate (GTA),drug, Canavan disease,disease,drug_disease??,
38282243,Abtract,article,in vivo,,disease_phenotype_positive,, Canavan disease,disease,astroglial  vacuolation,phenotype,,
38282243,Abtract,article,in vivo,,disease_phenotype_positive,, Canavan disease,disease,intramyelinic vacuolation,phenotype,,
38282243,Abtract,article,in vivo,,,,,,,,,
38282243,Abtract,article,in vivo,,,,NaDC3 (Sodium-dependent dicarboxylate transporter 3),,N-acetyl-L-aspartic acid (NAA),protein/gene,"Astroglia express NaDC3 (encoded by SLC13A3), a sodium-coupled transporter for NAA and other dicarboxylates",
38282243,Abtract,article,in vivo,,protein_protein,,NaDC3 (Sodium-dependent dicarboxylate transporter 3),protein/gene,SLC13A3,protein/gene,,
38282243,Abtract,article,in vivo,,,,Astroglia,,NaDC3 (Sodium-dependent dicarboxylate transporter 3),protein/gene,x_type: cell,
38282243,Abtract,article,in vivo,,disease_phenotype_positive,,Leukodystrophy,disease, Canavan disease,disease,,
38309148,Abtract,article,in vitro,,disease_disease,,neurodegenerative disorder,disease, Canavan disease,disease,,
38309148,Abtract,article,in vitro,,disease_protein,, Canavan disease,disease,ASPA gene,protein/gene,,
38309148,Abtract,article,in vitro,,disease_protein,, Canavan disease,disease,c.556_559dupGTTC mutation (ASPA),protein/gene,,
38309148,Abtract,article,in vitro,,disease_protein,, Canavan disease,disease,c.919delA mutation (ASPA),protein/gene,,
38311564,Abtract,article,in vivo,,disease_protein,, Canavan disease,disease,ASPA gene,protein/gene,,
38311564,Abtract,article,in vivo,,protein_protein,,ASPA gene,protein/gene,c.556_559dupGTTC (p. L187Rfs*5),protein/gene,,
38311564,,,in vivo,,protein_protein,,ASPA gene,protein/gene,c.919delA (p.S307Vfs*24),protein/gene,,
38311564,Abtract,article,in vivo,,disease_protein,,(PVS1+PM2_Supporting+PM3),disease,c.556_559dupGTTC (p. L187Rfs*5),protein/gene,,
38311564,Abtract,article,in vivo,,disease_protein,,(PVS1+PM2_Supporting+PM3),disease,c.919delA (p.S307Vfs*24),protein/gene,,
38538326,Abtract,article,in vivo,,disease_protein,, Canavan disease,disease,ASPA gene,protein/gene,,
38538326,Abtract,article,in vivo,,disease_phenotype_positive,, Canavan disease,disease,vacuolation,phenotype,,
38538326,Abtract,article,in vivo,,disease_phenotype_positive,, Canavan disease,disease,vacuolation,phenotype,,
38538326,Abtract,article,in vivo,,disease_phenotype_positive,, Canavan disease,disease,hypomyelination,phenotype,,
38538326,Abtract,article,in vivo,,disease_phenotype_positive,, Canavan disease,disease,swollen axons,phenotype,,
39128657,Abtract,article,,,disease_protein,,Canavan disease,disease,ASPA gene,protein/gene,,
39128657,Abtract,article,,,protein_protein,,ASPA ,protein/gene,E285A enzyme,protein/gene,experiment: in silico????,
39128657,Abtract,article,,,protein_protein,,Glutathione,protein/gene,E285A enzyme,protein/gene,,
39128657,Abtract,article,,,protein_protein,,NAAG,protein/gene,E285A enzyme,protein/gene,,
39128657,Abtract,article,,,protein_protein,,Patulin,protein/gene,E285A enzyme,protein/gene,,
40298596,Abtract,case report,,,disease_phenotype_positive,, Canavan disease,disease,progressive macrocephaly,phenotype,,
40298596,Abtract,case report,,,disease_phenotype_positive,, Canavan disease,disease,axial hypotonia,phenotype,,
40298596,Abtract,case report,,,disease_phenotype_positive,, Canavan disease,disease,developmental delay,phenotype,,
40298596,Abtract,case report,,,disease_phenotype_positive,, Canavan disease,disease,limb stiffness,phenotype,,
40298596,Abtract,case report,,,disease_phenotype_positive,, Canavan disease,disease,increased N-acetylaspartate (NAA) peak,phenotype,,
40298596,Abtract,case report,,,pathology_anatomy_present,,dilated perivascular spaces,pathology,parietal white matter,anatomy,,
40298596,Abtract,case report,,,pathology_anatomy_present,,dilated perivascular spaces,pathology,bifrontal regions,anatomy,,
40298596,Abtract,case report,,,phenotype_anatomy_present,,increased N-acetylaspartate (NAA) peak,phenotype,anterior right frontal white matter,anatomy,,
40656657,Abtract,case report,,,disease_phenotype_positive,, Canavan disease,disease,intention tremor,phenotype,,
40656657,Abtract,case report,,,disease_phenotype_positive,, Canavan disease,disease,fine motor,phenotype,,
40954385,Abtract,article,,,drug_protein,, PPAR-β/δ ,protein/gene,GW0742,protein/gene,,
34446995,Abtract,Article,in vivo,human,disease_disease,,leukodystrophy,disease,Canavan disease,disease,,
34446995,Abtract,Article,in vivo,human,disease_phenotype_positive,, Canavan disease,disease, Visual Impairment ,phenotype,,
34446995,Abtract,Article,in vivo,human,disease_phenotype_positive,, Canavan disease,disease,pyramidal signs,phenotype,,
34446995,Abtract,Article,in vivo,human,disease_phenotype_positive,, Canavan disease,disease,seizures,phenotype,,
34446995,Abtract,Article,in vivo,human,disease_phenotype_positive,, Canavan disease,disease,microcephaly,phenotype,,
34446995,Abtract,Article,in vivo,human,disease_protein,, Canavan disease,disease,ASPA gene,protein/gene,,
34446995,Abtract,Article,in vivo,human,disease_phenotype_positive,, Canavan disease,disease,NAA ,phenotype,Increase ,
34477360,Abtract,Article,in vivo,,disease_protein,, Canavan disease,disease,ASPA gene,protein/gene,,
34477360,Abtract,Article,in vivo,,disease_phenotype_positive,, Canavan disease,disease,NAA ,phenotype,increase ,
34477360,Abtract,Article,in vivo,,disease_phenotype_positive,, Canavan disease,disease,Lethargy ,phenotype,,
34477360,Abtract,Article,in vivo,,disease_phenotype_positive,, Canavan disease,disease,hypotonia ,phenotype,,
34477360,Abtract,Article,in vivo,,disease_phenotype_positive,, Canavan disease,disease,macrocephaly,phenotype,,
34477360,Abtract,Article,in vivo,,disease_phenotype_positive,, Canavan disease,,"	
spasticity",,,
34477360,Abtract,Article,in vivo,,disease_phenotype_positive,, Canavan disease,,hyperreflexia,,,
34477360,Abtract,Article,in vitro,,disease_protein,, Canavan disease,,NAT8L,protein/gene,,
34477360,Abtract,Article,in vitro,,drug_protein,,Carbobenzyloxy-L-aspartic acid ,drug,ANAT ,protein/gene,,
34477360,Abtract,Article,in vitro,,drug_protein,,oligonucleotide against Nat8l,drug,ANAT ,protein/gene,,
34498299,Abtract,Article,,,disease_protein,, Canavan disease,disease,ASPA gene,protein/gene,,
34498299,Abtract,Article,,,disease_disease,,vacuolar leukodystrophy,disease,CANAVAN disease,disease,,
34498299,Abtract,Article,,,disease_phenotype_positive,, Canavan disease,,N-acetyl-l-aspartate,phenotype,excessive brain storage of N-acetyl-l-aspartate,
34498299,Abtract,Article,,,disease_phenotype_positive,, Canavan disease,disease,"	
ataxia",phenotype,,
34498299,Abtract,Article,,,,, Canavan disease,disease,hypotonia,phenotype,,
34498299,Abtract,Article,,,pathology_anatomy_present,,"""spongiform” vacuoles",pathology,myelin ,anatomy,,
34723085,Abtract,Case report,in vivo,human,disease_disease,,leukodystropy ,disease,Canavan disease,disease,,
34723085,Abtract,Case report,in vivo,human,disease_phenotype_positive,, Canavan disease,disease,"
macrocephaly",phenotype,,
34723085,Abtract,Case report,in vivo,human,disease_phenotype_positive,, Canavan disease,disease,neurologic impairment,phenotype,,
34723085,Abtract,Case report,in vivo,human,disease_phenotype_positive,, Canavan disease,,supratentorial white matter ,phenotype,,
36568275,"Introduction (last paragraph), Abtract",Article,"in vivo, in vitro",mice, bioprocess_protein,,NAA,protein/gene,NATL8,protein/gene,synthesizing,
36568275,"Abtract, Introduction (last paragraph)",Article,"in vivo, in vitro",mice,disease_disease,, Canavan disease,disease,leukodystrophy,disease,,
36568275,"Abtract, Introduction (last paragraph)",Article,"in vivo, in vitro",mice,disease_protein,, Canavan disease,disease,ASPA,protein/gene,,
36568275,"Abtract, Introduction (last paragraph)",Article,"in vivo, in vitro",mice,drug_effect,,dual-function vector,exposure,NNA,biological_process,elevated levels,
36568275,"Abtract, Introduction (last paragraph)",Article,"in vivo, in vitro",mice,drug_effect,,dual-function vector,exposure,body weight,phenotype,loss,
36568275,"Abtract, Introduction (last paragraph)",Article,"in vivo, in vitro",mice,drug_effect,,dual-function vector,exposure,Locomotor,phenotype,impairments,
36568275,"Abtract, Introduction (last paragraph)",Article,"in vivo, in vitro",mice,drug_effect,,dual-function vector,exposure,astrogliosis,phenotype,,
36568275,"Abtract, Introduction (last paragraph)",Article,"in vivo, in vitro",mice,drug_effect,,dual-function vector,exposure,demyelination,phenotype,,
36968992,"Abtract, Introduction (last paragraph)",Case report,in vivo,human,disease_phenotype_positive,, Canavan disease,disease,NNA,protein/gene,accumulation,
36968992,"Abtract, Introduction (last paragraph)",Case report,in vivo,human,disease_disease,,leukodystrophy,disease,Canavan disease,disease,,
36968992,"Abtract, Introduction (last paragraph)",Case report,in vivo,human,disease_phenotype_positive,,canavan disease ,disease,seizures,phenotype,frequent intractable,
36968992,"Abtract, Introduction (last paragraph)",Case report,in vivo,human,disease_phenotype_positive,,canavan disease ,disease,visual ,phenotype, impairment,
36968992,"Abtract, Introduction (last paragraph)",Case report,in vivo,human,indication,,clobazam,drug,Canavan disease,disease,,
36968992,"Abtract, Introduction (last paragraph)",Case report,in vivo,human,indication,,primidone,drug,Canavan disease,disease,,
37149081,Abtract,Article,,,disease_disease,,leukodystrophy,disease,Canavan disease,disease,,
37149081,Abtract,Article,,,disease_disease,,canavan disease  ,disease,demyelinaing,disease,,
37149081,Abtract,Article,,,disease_protein,,canavan disease  ,disease,ASPA,protein/gene,,
37149081,Abtract,Article,,,disease_phenotype_positive,, Canavan disease,disease,myelin,phenotype,loss,
37149081,Abtract,Article,,,disease_phenotype_positive,, Canavan disease,disease,neuronal,phenotype,,
37149081,Abtract,Article,,,disease_phenotype_positive,, Canavan disease,disease,large vacuole,phenotype,formation in the CNS,
37149081,Abtract,Article,,,disease_phenotype_positive,, Canavan disease,disease,death,phenotype,early in childhood,
37271923,Abtract,Article,,,disease_disease,, Canavan disease,disease,demyelinaing,disease,,
37271923,Abtract,Article,,,disease_protein,, Canavan disease,disease,ASPA,protein/gene,,
37271923,Abtract,Article,,,disease_phenotype_positive,, Canavan disease,disease,demylination,phenotype,,
37271923,Abtract,Article,,,disease_phenotype_positive,, Canavan disease,disease,vacuolation,phenotype,,
37271923,Abtract,Article,,,exposure_disease,,OPC,exposure,canavan disease,disease,,
37271923,Abtract,Article,,,drug_effect,,OPC,exposure,NAA,amino acid,reduced level,
37271923,Abtract,Article,,,drug_effect,,OPC,exposure,myelination,phenotype,defective,
37271923,Abtract,Article,,,drug_effect,,OPC,exposure,motor function,phenotype,deficits,
38544400,Abtract,Case report,in vivo,human,disease_disease,,spongiform leukodystrophy,disease,Canavan disease,disease,,
38544400,Introduction (last paragraph),Case report,in vivo,human,disease_disease,,spongy leukodystrophy,disease,Canavan disease,disease,,
38544400,Introduction (last paragraph),Case report,in vivo,human, anatomy_disease,,WM,anatomy,Canavan disease,disease,,
38544400,Introduction (last paragraph),Case report,in vivo,human, anatomy_disease,,subcortical U fibers,anatomy,Canavan disease,disease,,
38544400,Introduction (last paragraph),Case report,in vivo,human,disease_protein,mutation,Canavan disease,disease,ASPA,protein/gene,,
38718669,Abtract,Case report,in vivo,human,disease_protein,,Canavan disease,disease,NAA,amino acid,,
