,entity_name,original_entity_types,PMID,relation,entity_side
844,high level of unesrerified cholesterol,phenotype,36182715,disease_phenotype_positive,2
845,high levels of reactive oxygen species (ros),,,,
846,high npc1 expression,,,,
847,higher vulnerability to ferroptosis,phenotype,40243519,disease_phenotype_positive,2
848,higher vulnerability to oxytosis,phenotype,40243519,disease_phenotype_positive,2
849,highly heterogeneous phenotypes,phenotype,38131230,phenotype_protein,1
850,hippocampal brain regions,,,,
852,hippocampal subregional atrophy,phenotype,34146215,disease_phenotype_positive,2
857,"homozygous c.3560c>t, p.a1187v",,,,
858,"homozygous c2861c>t, p.s954l",,,,
860,host cellular cholesterol distribution,biological_process,39183751,bioprocess_protein,2
861,hsem deterioration,,,,
864,human hematologic and solid cancers,disease,41013744,indication,2
865,human-derived low-density lipoprotein,exposure,40436106,exposure_phenotype,1
866,huntington’s disease,,,,
867,hydroxy-15-azasterol,drug,39959107,drug_drug|indication,1
870,hyper-activated stimulator of interferon genes signaling,,,,
873,hypopharyngeal retention,phenotype,36064725,disease_phenotype_positive,2
874,i1061-npc1,,,,
875,i1061t,,,,
876,i1061t mutant,,,,
877,i1061t npc1,,,,
880,idiopathic neonatal cholestasis,phenotype,34455703,disease_phenotype_positive,2
884,immature oligodendrocytes,anatomy,36455410,drug_effect,2
885,immobile ip3rs clusters,,,,
887,immune system hyperactivity,phenotype,35360843,disease_phenotype_positive|drug_effect|phenotype_phenotype,2
889,impaired anterograde lysosome transport,phenotype,34085599,disease_phenotype_positive,2
890,impaired autophagy,phenotype,37047194,disease_phenotype_positive,2
891,impaired axonal lysosomal transport,phenotype,34592985,phenotype_protein,1
892,impaired cargo degradation,phenotype,39547438,phenotype_protein,2
893,impaired glutamate uptake,phenotype,34802899,disease_phenotype_positive,2
894,impaired health-related quality of life,phenotype,34819124,disease_phenotype_positive,2
895,impaired immune surveillance,phenotype,35081253,disease_phenotype_positive,2
896,impaired intestinal stem cell stemness,phenotype,38550777,phenotype_protein,2
897,impaired intracellular cholesterol trafficking,phenotype,39207850|39688135|40847051,disease_phenotype_positive,2
898,impaired lipid storage,phenotype,34061502,disease_phenotype_positive,2
899,impaired lysosomal function,phenotype,39048052,disease_phenotype_positive,2
900,impaired mannosyl glucosylceramide glycosylation,,,,
905,impaired neurite outgrowth,phenotype,40436106,exposure_phenotype,2
906,impaired npc2,,,,
907,impaired oligodendrocyte lineage maturation,phenotype,37407594,phenotype_protein,1
908,impaired phenotype of microglia,,,,
909,impaired resolution of inflammation,,,,
910,impaired saccadic velocity,phenotype,38868844,disease_phenotype_positive,2
911,impaired smooth pursuit gain,phenotype,38868844,disease_phenotype_positive,2
913,impaired vertical reflexive saccades,phenotype,34096670,disease_phenotype_positive,2
914,impaired vertical saccades,phenotype,38868844,disease_phenotype_positive,2
915,impaired vertical upward and downward saccades,phenotype,34096670,disease_phenotype_positive,2
916,impairing tissue regeneration mechanisms,phenotype,40257496,disease_phenotype_positive,2
918,impairment of cochlear hair cells,,,,
919,impairment of cognitive inhibition,phenotype,40701909,disease_phenotype_positive,2
920,impairment of cytotoxic t lymphocyte effector function,,,,
921,impairment of lysosomal function,phenotype,39173891,disease_phenotype_positive,2
922,impairment of mitophagy,phenotype,38821960,pathology_phenotype,2
923,impairment of verbal fluency,phenotype,40701909,disease_phenotype_positive,2
924,impairs developmental trajectories,phenotype,36322609,phenotype_protein,2
925,impairs the body's ability to metabolize fats,,,,
926,improve lysosomal function,phenotype,34418116,drug_effect,2
927,improve motor coordination,phenotype,40877976,drug_effect,2
928,improved ataxia,phenotype,37128603,drug_effect,2
930,improved behavioural phenotypes,phenotype,37373322,phenotype_protein,1
931,"improved cellular fifitness,",phenotype,40504793,drug_effect,2
932,improved cholesterol efflux,biological_process,40301465,drug_bioprocess,2
933,improved cholesterol mobilization,phenotype,36584173,drug_effect,2
935,improved cognitive disorders,phenotype,40866990,drug_effect,2
936,improved feeding phenotypes,phenotype,37128603,drug_effect,2
938,improved hepatosplenic pathology,,,,
939,improved mitochondrial function,phenotype,40504793,drug_effect,2
940,improved mitochondrial functional performance,phenotype,34175669,phenotype_protein,2
941,improved motor function,phenotype,34290407|38142760,phenotype_protein,2
942,improved motor functions,phenotype,39891227,drug_effect,2
943,improved seizures,phenotype,40866990,drug_effect,2
947,improves the decline of locomotor activity,phenotype,38599016,drug_effect,2
950,increase adenosine levels,phenotype,35408815,off_label_use,2
951,increase in de novo sphingolipid biosynthesis,,,,
952,increase in inflammatory gene expression,phenotype,34720883,phenotype_protein,1
953,increase long term hematopoietic stem cells in spleen,phenotype,35007562,phenotype_protein,1
954,increase long term hematopoietic stem in cells spleen,phenotype,35007562,phenotype_protein,1
955,increase of mitochondrial cholesterol content,phenotype,34175669,disease_phenotype_positive,2
956,increase of this bile acid,phenotype,38790666,disease_phenotype_positive,2
957,increase short term hematopoietic stem cells in spleen,phenotype,35007562,phenotype_protein,1
958,increase short term hematopoietic stem in cells spleen,phenotype,35007562,phenotype_protein,1
960,increase the number of mature neurons,phenotype,40877976,drug_effect,2
961,increase the number of purkinje cells,,,,
962,"increased 3β,5α,6β-trihydroxycholanyl glycine",phenotype,38790666,disease_phenotype_positive,2
963,increased age of neurological onset,phenotype,40064165,phenotype_phenotype,2
964,increased amyloidogenic processing of app,,,,
965,increased annual severity increment score,,,,
966,increased app c-terminal fragments,,,,
967,increased astrogliosis,phenotype,35563467,disease_phenotype_positive,2
968,increased c24 isoforms,,,,
970,increased cfs level of total tau,,,,
972,increased cholesterol content associated with mitochondria,phenotype,35507892,phenotype_protein,2
973,increased cholesterol content associated with tgn-rich membranes,,,,
975,increased efflux of 24(s)-hc,,,,
976,increased flotillin-2,,,,
978,increased glucosylceramide synthase,,,,
979,increased gm2 ganglioside accumulation,,,,
980,increased gm3 ganglioside accumulation,,,,
981,increased immune response,phenotype,35563467,phenotype_phenotype|phenotype_protein,1|2
982,increased ip3-mediated ca2+ release,,,,
983,increased level of p-jak2,,,,
984,increased levels of extracellular adenosine,phenotype,35408815,drug_effect,2
985,increased levels of serum hmgb1,,,,
986,increased levels of tau protein,phenotype,35455589,disease_protein,2
987,increased lysosomal cholesterol,,,,
988,increased lysosomal ph,,,,
989,increased lysosomal volume,phenotype,40003936,phenotype_protein,2
990,increased median survival,phenotype,34802899,drug_effect,2
991,increased membrane contact sites,phenotype,38302739,disease_phenotype_positive,2
992,increased mitochondrial ca2+,,,,
993,increased mitochondrial gsh levels,,,,
994,increased mitochondrial membrane fluidity,phenotype,38599016,drug_effect,2
995,increased neuronal mglur5,,,,
996,increased npc2 gene expression,,,,
997,increased p-jak2/jak2 ratio,,,,
998,increased p-stat3/stat3 ratio,,,,
999,increased phosphatidylcholine ratio,phenotype,38599016,drug_effect,2
1000,increased phosphatidylethanolamine ratio,phenotype,38599016,drug_effect,2
1001,increased phosphorylation of s1303 on nr2b,,,,
1002,increased phosphorylation of t286 on camkiiα,,,,
1003,increased plasma granulocyte-colony stimulating factor by 2-fold,phenotype,35007562,phenotype_protein,1
1004,increased plasma il-10,,,,
1005,increased plasma il-6,,,,
1006,increased plasma il-8,,,,
1008,increased pro-neuropeptide y,,,,
1011,increased synthesis of triglycerides,,,,
1012,increased total amyloid precursor protein,,,,
1013,increases lysosomal degradation of cation-independent -mannose 6-phosphate receptor,phenotype,35653304,phenotype_phenotype,2
1014,increases niemann-pick disease type c1,,,,
1015,increases purkinje cell survival,,,,
1016,increasing adenosine levels,phenotype,35408815,disease_phenotype_positive,2
1017,induced extracellular release of lysosomal components,phenotype,40565243,drug_effect,2
1020,inefficient efferocytosis,phenotype,39547438,phenotype_protein,2
1029,ingestion of lipid vesicles into vacuoles,,,,
1031,inherited autosomal-recessive endolysosomal storage disease,disease,36614015,disease_disease,1
1032,inherited neurovisceral genetic disorder,phenotype,37458497,disease_phenotype_positive,2
1033,inhibitory activity towards ent1,,,,
1035,initial psychopharmacology,phenotype,34744838,disease_phenotype_positive,2
1036,injured livers,anatomy,39547438,anatomy_protein_present,1
1042,intensive blinking,phenotype,34086834,disease_phenotype_positive,2
1047,intolerance of psychopharmacological drugs,phenotype,34744838,disease_phenotype_positive,2
1048,intracellular accumulation of mglur5,,,,
1049,intracellular accumulation of non-esterified cholesterol,phenotype,35487270,disease_phenotype_positive,2
1050,intracellular accumulation of other lipids,phenotype,35487270,disease_phenotype_positive,2
1053,intracellular cholesterol defect,phenotype,36322609,phenotype_anatomy|phenotype_phenotype,1|2
1054,intracellular cholesterol trafficking,biological_process | pathway | phenotype,36116252|37602789|38183651|39706535|40107109|40847051,anatomy_protein_absent|bioprocess_protein|drug_effect|pathway_protein,1|2
1055,intracellular cholesterol transport inhibitor,drug,39340823,drug_effect|indication,1
1056,intracellular lipid storage,phenotype,36614015,disease_phenotype_positive,2
1057,intracellular mobilization of water-insoluble molecules,biological_process,34879185,bioprocess_protein,2
1058,intracellular neutral lipids,lipid,40301465,anatomy_protein_present,2
1059,intracellular sphingolipid transport,biological_process,37423302,bioprocess_protein,2
1060,intracellular trafficking of cholesterol,biological_process,37245481,bioprocess_protein,2
1061,intramitochondrial cholesterol trafficking,biological_process,34175669,bioprocess_protein,2
1062,intrathecal 2-hydroxypropyl-β-cyclodextrin,drug,39688135,drug_effect,1
1066,iron deprivation,,,,
1068,iron homeostasis dysregulation,,,,
1070,isogenic induced pluripotent stem cells,anatomy,36301667,anatomy_protein_present,1
1071,juvenile onset form niemann-pick disease type c,,,,
1073,keap1− nrf2 axis,,,,
1076,kinesin domain,molecular_function,36861884,molfunc_protein,1
1080,kv2-cav,,,,
1082,lacking ncr1,,,,
1083,lacking npc2,,,,
1087,late endosomal accumulation of unesterified cholesterol,phenotype,39048052,disease_phenotype_positive,2
1088,late endosome cholesterol accumulation,phenotype,36823305,cellcomp_protein|disease_phenotype_positive,1|2
1089,late endosome cholesterol transport,phenotype,36861884,disease_phenotype_negative,2
1090,late endosome morphology,phenotype,36823305,phenotype_protein,1
1091,late endosome tubulation,biological_process | phenotype,36861884,bioprocess_protein|disease_phenotype_negative,1|2
1095,late lysosomal and endosomal compartments,cellular_component,34418116,cellcomp_protein,1
1097,lateral trajectory of the eyes,phenotype,34086834,disease_phenotype_positive,2
1098,ldl-mediated cholesterol uptake,,,,
1100,left frontotemporal networks,anatomy,41277897,anatomy_disease,1
1102,lethal genetic disease,disease,39102515,disease_disease,1
1104,level of p-stat3,,,,
1105,lgals3-positive leaky lysosomes,,,,
1109,lipid accumulation in late endosomes,phenotype,34720883,disease_phenotype_positive,2
1110,lipid accumulation in lysosomes,phenotype,34720883,disease_phenotype_positive,2
1112,lipid burden,phenotype,40215728,drug_effect,2
1114,lipid clearance,phenotype,35081253,drug_effect,2
1115,lipid dysregulation,phenotype,39202426,disease_phenotype_positive,2
1123,lipid transport pathway,biological_process,40257496,bioprocess_protein,2
1125,lipid-degrading enzymes,,,,
1126,lipid-laden foamy macrophages,phenotype,38826605,disease_phenotype_positive,2
1127,lipidated apoe4 particles,,,,
1136,liver failure developed,phenotype,36265573,disease_phenotype_positive,2
1140,liver protection drugs,drug,35360843,indication,1
1143,liver x receptor β,,,,
1144,liver−spleen region,anatomy,34061502,anatomy_disease,1
1147,lo microdomain formation,,,,
1149,long-term congenital immunodeficiencies,disease,35081253,disease_disease,2
1150,loose cell bodies,phenotype,38087834,phenotype_protein,1
1151,loss in neuronal signaling capacity,phenotype,39340823,drug_effect,2
1155,loss of lipid rafts,phenotype,37539272,phenotype_protein,2
1156,loss of mental and physical abilities,phenotype,35016719,disease_phenotype_positive,2
1158,"loss of motor function, swallowing, and speech",,,,
1159,loss of ncr1,,,,
1160,loss of npc activity,,,,
1161,loss of psychomotor acquisitions,phenotype,37480097,disease_phenotype_positive,2
1164,low cerebrospinal fluid (csf) amyloid- 1-42 (a) levels,,,,
1165,low expression tyrosinase,phenotype,37423302,phenotype_protein,1
1166,low levels of esterified cholesterols,phenotype,36182715,disease_phenotype_positive,2
1167,low levels of long-chain fatty acids,phenotype,36182715,disease_phenotype_positive,2
1172,lower cerebral expression of genes within interferon signaling pathways,phenotype,38254990,phenotype_protein,2
1173,lower expression of mat2a,,,,
1174,lower oxidative stress,phenotype,38254990,phenotype_phenotype,1
1175,lower phosphatidylcholine ratio in mitochondria,phenotype,38599016,phenotype_protein,2
1176,lower phosphatidylethanolamine ratio in mitochondria,phenotype,38599016,phenotype_protein,2
1177,lowered smooth pursuit gain,phenotype,34096670,disease_phenotype_positive,2
1178,lpc o-16:0,,,,
1179,lpc o-18:1,,,,
1181,lpla2 (lysosomal phospholipase a2),,,,
1186,lyso-sphingolipids,biological_process | phenotype,34810067|41274250,bioprocess_disease|disease_phenotype_positive,1|2
1188,lyso-sphingomyelin 509,,,,
1189,lyso-sphingomyelin-509,protein/gene,36777709,disease_protein|protein_protein,2
1190,lysobisphosphatidic acid enrichment,,,,
1191,lysomsomal storage disorder,disease,35081253,disease_disease,2
1192,lysosm,,,,
1193,lysosm509,,,,
1195,lysosomal accessible cholesterol,phenotype,40737317,phenotype_protein,2
1197,lysosomal accumulation of cholesterol,phenotype,34377675|34407999|40306479,disease_phenotype_positive|phenotype_phenotype|phenotype_protein,1|2
1198,lysosomal accumulation of unesterified cholesterol,phenotype,36777709|39048052,disease_phenotype_positive,2
1201,lysosomal bis(monoacylglycero)phosphate hydrolase,molecular_function,38895439,molfunc_protein,2
1202,lysosomal ca2+ efflux,,,,
1203,lysosomal ca2+ signalling defects,,,,
1204,lysosomal cholesterol accumulation,phenotype,40107109,disease_phenotype_positive,2
1205,lysosomal cholesterol crystals solubilizer,phenotype,34748340,drug_effect,2
1206,lysosomal cholesterol egress,biological_process,40333988,bioprocess_protein,1
1207,lysosomal cholesterol handling,biological_process,40565243,bioprocess_protein,2
1208,lysosomal cholesterol homeostasis,biological_process | phenotype,35891519|38183651|40333988,anatomy_cellcomp|bioprocess_protein,1|2
1209,lysosomal cholesterol trafficking pathway,biological_process | pathway,39339852,drug_bioprocess|pathway_protein,2
1216,lysosomal differentially expressed proteins,cellular_component,34440927,cellcomp_protein,1
1220,lysosomal dysfunction,phenotype,39518914|40215728,disease_phenotype_positive|phenotype_protein,2
1224,lysosomal leakage,phenotype,36409725,drug_effect|phenotype_phenotype,1|2
1225,lysosomal lipid accumulation,phenotype,35408815|36325261|39789920|40257496,disease_phenotype_positive,2
1226,lysosomal lipid storage,disease,36455410|38087834,disease_disease,1|2
1227,lysosomal lipid storage disease,disease,37480097,disease_disease,2
1228,lysosomal membrane permeabilization,biological_process | phenotype,36409725,drug_bioprocess|phenotype_phenotype,1|2
1231,lysosomal storage defects,disease,35016719,disease_phenotype_positive,1
1235,lysosomal storage of lipids,,,,
1237,lysosome abundance,phenotype,38183651,phenotype_protein,1
1238,lysosome cholesterol accumulation,phenotype,36823305,disease_phenotype_positive|phenotype_protein,1|2
1241,lysosome dysfunction,phenotype,34851695,anatomy_disease|disease_phenotype_positive,2
1242,lysosome limiting membrane,cellular_component,37423302,cellcomp_protein,2
1246,lysosome tubulation,phenotype,36861884,disease_phenotype_negative,2
1248,lysosome-dependent cell death,phenotype,36409725,drug_effect,2
1251,lysosphingomyelin-509,phenotype,36279795,disease_phenotype_positive,2
1252,m1 polarization,,,,
1253,macrophage efferocytosis,biological_process,39547438,phenotype_protein,2
1254,maintain ci-mpr normal level,,,,
1255,maintain normal lipid metabolism,biological_process,36182715,drug_bioprocess,2
1256,malt1 loss-of-function phenotypes,,,,
1258,mannose-6- phosphate modification,biological_process,37890669,bioprocess_protein,2
1260,massive accumulation of cholesterol within cells,phenotype,37602789,disease_phenotype_positive,2
1261,massive increase in autophagosomes,phenotype,34720883,phenotype_protein,1
1263,mature lymphocyte depletion,phenotype,37369603,phenotype_phenotype,1
1264,mature neuronal cells,anatomy,34377675,pathology_anatomy_present,2
1266,mcf-7 cell proliferation,,,,
1269,medial temporal lobe atrophy,,,,
1273,menstrual blood-derived endometrial stem cells,,,,
1274,mesenchymal stromal cell-derived extracellular vesicles,,,,
1277,metabolic collapse,phenotype,38821960,pathology_phenotype,2
1280,metabolic irregularities,phenotype,39452896,disease_phenotype_positive,2
1282,metabolite characteristics,phenotype,39452896,disease_phenotype_positive,2
1283,metabolize cholesterol overload,biological_process,37429811,exposure_bioprocess,2
1285,mglur-ltd,,,,
1287,mglur5 alterations,,,,
1288,mglur5 at plasma membrane,,,,
1289,mglur5 distribution,,,,
1292,microglia ameboid form,phenotype,39366931,disease_phenotype_positive|phenotype_protein,2
1293,microglia gastrosome expansion,phenotype | protein/gene,39366931,disease_phenotype_positive|phenotype_protein,2
1294,microglia-directed immunotherapeutic,,,,
1295,microglial function,biological_process,39173891,bioprocess_protein|drug_effect,1|2
1296,microglial homeostasis,phenotype,34851695,phenotype_protein,1
1297,microglial hyperactivity,,,,
1300,mild neutrophilia.,phenotype,35007562,phenotype_protein,1
1301,"mild, intermediate, and severe clinical forms",phenotype,38131230,phenotype_phenotype,2
1302,mildly delayed myelination,phenotype,35016719,disease_phenotype_positive,2
1304,mislocalization of lysosomes,,,,
1305,missense change,phenotype,35192242,phenotype_protein,1
1306,missing adhesio interthalamica,phenotype,37612148,disease_phenotype_positive,2
1307,mitigate dna damage,,,,
1308,mitigate the activation of glial cells,phenotype,40877976,drug_effect,2
1310,mitochondrial ca2+ cytotoxicity,,,,
1311,mitochondrial cholesterol accumulation,pathology | phenotype,34175669|39706535,pathology_phenotype|phenotype_protein,1|2
1312,mitochondrial cytotoxicity,phenotype,34580197,disease_phenotype_positive,2
1315,mitochondrial dyshomeostasis,phenotype,39202426,disease_phenotype_positive,2
1318,mitochondrial insufficiency,phenotype,38302739,disease_phenotype_positive,2
1321,mitochondrial-lysosomal contacts,cellular_component,39747180,cellcomp_protein,1
1322,mitocondrial differentially expressed proteins,protein/gene,34440927,cellcomp_protein|phenotype_protein,2
1323,mitophagy pathway,pathway,37958627,disease_pathway,2
1324,mld and ctd,,,,
1325,mo56-hydroxycholesterol,GRAS/Excipient/prodrug,39207850,exposure_protein,1
1329,more severe npc1 phenotype,,,,
1330,morphological changes in microglia,,,,
1332,motor decline,phenotype,40306479,disease_phenotype_positive,2
1340,movement dyscoordination,phenotype,36064725,disease_phenotype_positive,2
1341,movenment disorders,,,,
1342,mstrg.13285.1,,,,
1343,mstrg.20510.2,,,,
1347,multi-systemic manifestations,phenotype,36719165,disease_phenotype_positive,2
1349,multiple lipid species accumulate,phenotype,34418116,phenotype_protein,1
1350,multiple sphingolipids,phenotype,40869913,disease_phenotype_positive,2
1352,mycobacterial cell wall lipids,exposure,36085278,exposure_protein,1
1353,myelin debris,molecular_function,34851695,molfunc_protein,1
1355,myeloid npc1,,,,
1356,myeloid npc1 deletion,,,,
1357,"n-(3β,5α,6β-trihydroxy-cholan-24-oyl) glycine",,,,
1362,n-acyl sphingosine amidohydrolase 2,,,,
1363,n-alkyl iminosugars,,,,
1368,n-palmitoyl-o-phosphocholine-serine,,,,
1369,n-palmitoyl-o-phosphocholineserine,,,,
1370,nad precursos supplement,,,,
1371,nanostructural disease,disease,34580197,disease_disease,1
1372,nanostructural ion channel clustering disease,disease,37507375,disease_disease,2
1375,ncp2,,,,
1376,ncr1p,,,,
1377,negligible capacity to solubilize unesterified cholesterol,phenotype,40847051,drug_effect,2
1378,neimann-pick types a and b,,,,
1379,neonatal acute liver failure,,,,
1380,neonatal acute liver failure (nalf),,,,
1381,neonatal bone marrow-derived cell transplantation,,,,
1387,neurite extension failure,phenotype,40436106,disease_phenotype_positive,2
1389,neuro lament light,protein/gene,34150357,disease_protein,2
1390,neuro-psychiatric symptoms,phenotype,34993563,disease_phenotype_positive,2
1391,neuro-visceral disease,disease,34993563,disease_disease,1
1392,neuro-visceral lipid storage disease,disease,35455589,disease_disease,2
1393,neurodegenerative cholesterol,disease,38719150,disease_disease,2
1397,neurodegenerative form,phenotype,34526163,disease_phenotype_positive,2
1398,neurodegenerative lysosomal disease,disease,35696615,disease_disease,1
1399,neurodegenerative lysosomal lipid storage disorder,phenotype,34744838,disease_phenotype_positive,2
1400,neurodegenerative lysosomal storage disease,disease,35961091,disease_disease,2
1401,neurodegenerative lysosomal storage disorder,disease | phenotype,34085599|40306479,disease_disease|disease_phenotype_positive,1|2
1402,neurodegenerative phenotypes,phenotype,37128603,disease_phenotype_positive,2
1404,neurodevelopmental dynamics,phenotype,36322609,disease_phenotype_positive,2
1405,neurofibrillary tangle pathology,pathology,39502943,disease_phenotype_positive,2
1407,neurogenetic disease,disease,39706535,disease_disease,1
1414,neurological characteristics,phenotype,38852794,drug_effect,2
1427,neurological manifestation prevention,phenotype,38804481,drug_effect,2
1429,neurological non-enzymatic disorders,disease,35833379,disease_disease,2
1438,neuronal ceroid lipofuscinoses type 3,,,,
1439,neuronal cholesterol turnover,biological_process,40701909,drug_bioprocess,2
1444,neuronal injury,phenotype,38581830,phenotype_protein,2
1447,neuronal network formation,biological_process,34377675,bioprocess_disease,1
1452,neuroprotective factor production,biological_process,40737317,bioprocess_protein,2
1454,neuropsychiatric issues,phenotype,39789920,disease_phenotype_positive,2
1455,neuropsychiatric manifestations,phenotype,39607035,disease_phenotype_positive,2
1456,neuropsychiatric signs,phenotype,38087834,disease_phenotype_positive,2
1458,neurotinib,,,,
1459,neurotoxic elevations,phenotype,37507375,pathology_phenotype,2
1462,neurovisceral lipid storage,,,,
1463,neurovisceral lipid storage disease,disease,34944681,disease_disease,1
1464,neurovisceral lipid storage disorder,phenotype,34061502,disease_phenotype_positive,2
1465,neurovisceral lysosomal lipid storage disorder,disease,36199263,disease_disease,2
1466,neurovisceral manifestations,phenotype,35164809,disease_phenotype_positive,2
1467,neurovisceral symptoms,phenotype,34364974|36325261|40565243,disease_phenotype_positive,2
1471,"nieman-pick disease, type c1",,,,
1472,"nieman-pick disease, type c2",,,,
1473,"nieman-pick disease, type c3",,,,
1474,nieman-­pick disease type c,,,,
1476,niemann pick disease type c (npc),,,,
1479,niemann pick type c (npc) disease,,,,
1483,niemann-pick class 1 (npc1) disease,,,,
1486,niemann-pick disease type c (np-c),,,,
1487,niemann-pick disease type c (npc),,,,
1488,niemann-pick disease type c brain,,,,
1502,niemann-pick type c (np-c),,,,
1505,niemann-pick type c sterol transfer proteins,,,,
1512,niemann-pick-type-c 1,,,,
1516,nigrostriatal circuit,anatomy,40737317,anatomy_disease,1
1518,nitrobenzoxadiazole-phospholipids,lipid,39455279,lipid_protein,1
1519,no significant improvement in lifespan,phenotype,40877976,drug_effect,2
1521,non-lysosomal b-glucosylceramidase,protein/gene,39246358,protein_protein,2
1522,non-selective chloride channel blockers,drug,38645072,drug_effect,1
1523,nonspecific periventricular hypersignal intensity,phenotype,35016719,disease_phenotype_positive,2
1524,normal lyso-sphingomyelin -509 level,phenotype,38549495,phenotype_phenotype,2
1525,normal plasma oxysterol level,phenotype,38549495,phenotype_phenotype,2
1526,normal urinary bile acid level,phenotype,38549495,phenotype_phenotype,2
1527,normalized app c-terminal fragments,,,,
1528,normalized bace1 levels,,,,
1529,normalized cholesterol synthesis,,,,
1530,normalized ganglioside,phenotype,39891227,drug_effect,2
1531,normalized intracellular cholesterol trafficking,cellular_component,37620691,drug_effect,2
1533,normalized the level of pro-inflammatory cytokines,phenotype,35487270,drug_effect,2
1534,normalized total app levels,,,,
1535,normalized triglyceride synthesis,,,,
1541,npc clinical database,,,,
1542,npc clinical severity scale,,,,
1543,npc heterozygous pathogenic variant,,,,
1544,npc lysosomal cholesterol transporters,,,,
1545,npc manifestations,,,,
1546,npc phenotype,,,,
1547,npc phenotypes,,,,
1548,npc protein misfolding,,,,
1550,npc severity,,,,
1551,npc severity scales,,,,
1553,npc0,,,,
1554,npc1 cerebellum dysfunction,,,,
1555,npc1 deficiency,,,,
1556,npc1 dysfunction,,,,
1558,npc1 inhibitor,,,,
1559,npc1 knock-in,,,,
1560,npc1 knock-out,,,,
1562,npc1 promoter,,,,
1564,npc1-/-:soat1-/-,,,,
1570,nuclear factor of activated t-cells signaling,,,,
1574,ocular-motor dysfunction,phenotype,34096670,disease_phenotype_positive,2
1576,oculomotor deficits,phenotype,36640220,disease_phenotype_positive,2
1577,oculomotor dysfunction,phenotype,34086834,bioprocess_protein|disease_phenotype_positive,2
1578,older age at the neurological symptom onset,phenotype,34993563,phenotype_phenotype,2
1579,oligodendrocyte lineage maturation,biological_process,37407594,bioprocess_phenotype,1
1580,oligodendrocyte progenitor differentiation,biological_process,34502342,bioprocess_protein|drug_bioprocess|drug_effect,1|2
1582,oncosterone,phenotype,37683773,phenotype_protein,1
1583,oncosterone production,phenotype,37683773,chemical_effect,2
1584,organ biodistribution,biological_process,38852794,drug_bioprocess,2
1587,ototoxic effects,phenotype,40847051,drug_effect,2
1589,overt dementia,phenotype,40525490,disease_phenotype_positive,2
1592,oxidative stress-mediated cell death,phenotype,34175669,phenotype_protein,2
1598,p.(val1165met),,,,
1599,p.a927v,,,,
1600,p.arg934ter,,,,
1601,p.c113y,,,,
1602,p.c113y/p.a927v,,,,
1603,p.g992r,,,,
1604,p.g992w,,,,
1605,p.ile1061thr,,,,
1606,p.lle1061thr protein,,,,
1607,p.pro471leu,,,,
1608,p.pro543leu,,,,
1609,p.v1023sfs*15/p.g992r,,,,
1610,p.v845cfs*24,,,,
1611,p2x purinerigic receptor 4,,,,
1613,p62/sqstm1− keap1,,,,
1614,p62/sqstm1− nrf2 axis,,,,
1615,p691s,,,,
1616,pac-modified cholesterol,lipid,39455279,lipid_protein,1
1617,pac-sphingosine,lipid,39455279,lipid_protein,1
1622,parkinson's disease etiology,,,,
1623,parkinson’s disease,,,,
1624,partially fragmented vacuoles,phenotype,37908116,bioprocess_phenotype|phenotype_phenotype,2
1625,partially relieved bafilomycin a1 inhibition of hiv-1,,,,
1626,pathogenic mycobacteria,,,,
1627,pathological accumulation of cholesterol,phenotype,36861884,disease_phenotype_positive,2
1628,pathological changes in kidneys,phenotype,38087834,phenotype_protein,1
1629,pathways of liver damage,pathway,34440927,pathway_protein,1
1630,patien-dependent manner,phenotype,40565243,drug_effect,2
1633,pdgf-α,,,,
1634,percentage time immobile,,,,
1639,peripheral organ dysfunction,phenotype,40215728,disease_phenotype_positive,2
1642,peroxisome proliferator-activated receptor-γ,protein/gene,34502342,bioprocess_protein|drug_protein|phenotype_protein,2
1643,ph-sensitive switch,,,,
1644,phagocytic stress,phenotype,34851695,anatomy_disease,2
1646,phenotypic scoring metrics,phenotype,35563467,phenotype_protein,2
1648,phosphatase and tensin homolog deleted on chromosome 10 gene (pten-chet),,,,
1656,phosphorylated tfeb at tyr173,,,,
1657,photo-activatable and clickable-phospholipids,lipid,39455279,lipid_protein,1
1659,physiological bis(monoacylglycero)phosphate hydrolase,molecular_function,38895439,molfunc_protein,2
1661,plasma neurofilament light chain elevated,,,,
1662,plasma phosphorylated-tau217,protein/gene,39502943,disease_protein|phenotype_protein,1|2
1666,poly-β-cyclodextrin,drug,34748340,drug_effect|indication,1
1667,poly-β-cyclodextrin-benzimidazole supramolecular nanoassembly,drug,34748340,drug_effect,1
1668,polyphenol-rich methanol extracts from rosa canina l. (rcme),,,,
1670,positive fibroblast filipin staining,,,,
1671,post-er glycoforms,,,,
1672,post-lysosomal/late endosomal transport,biological_process,36199263,bioprocess_protein,1
1673,posterior cerebellar regions,anatomy,40243519,anatomy_disease,1
1674,postsynaptic glutamate receptor signaling,biological_process,34802899,drug_bioprocess,2
1675,potent inhibition of hiv-1 replication,,,,
1677,premature attainment of the cw checkpoint,,,,
1679,premature degradation,phenotype,40215728,phenotype_protein,2
1682,preservation of executive control,phenotype,40701909,drug_effect,2
1683,preservation of learning,phenotype,40701909,drug_effect,2
1686,preserves cellular function,phenotype,34418116,drug_effect,2
1688,prevented hepatomegaly,,,,
1690,prevents cell death,phenotype,34418116,drug_effect,2
