,entity_name,original_entity_types,search_term_used,umls_matched_name,matched_cui,matched_semantic_types,matched_semantic_type_names,PMID,relation,entity_side
98,myelination defects,phenotype,myelination defects,Myelination defect,C4014372,['T033'],['Finding'],35637731,exposure_phenotype,2
111,neural stem cell,Cell therapy,neural stem cell,Neural Stem Cells,C1113654,['T025'],['Cell'],34446995,drug_effect,1
112,neurodegenerative disorder,disease | phenotype,neurodegenerative disorder,Neurodegenerative Disorders,C0524851,['T047'],['Disease or Syndrome'],36202930|38309148,disease_disease|disease_phenotype_positive,1|2
113,neurologic impairment,phenotype,neurologic impairment,No neurologic impairment,C5233653,['T033'],['Finding'],34723085|35187608,disease_phenotype_positive,2
114,neuronal,phenotype,neuronal,neuronal,C0521390,['T129'],['Immunologic Factor'],37149081,disease_phenotype_positive,2
116,non-classical splicing defect,phenotype,non-classical splicing defect,,,[],[],36202930,phenotype_protein,1
117,nystagmus,phenotype,nystagmus,Nystagmus,C0028738,['T047'],['Disease or Syndrome'],39119446,disease_phenotype_positive,2
119,oligodendrocyte-axon interface,phenotype,oligodendrocyte-axon interface,,,[],[],39119446,disease_phenotype_positive,2
122,parietal white matter,anatomy,parietal white matter,parietal white matter,C3496378,['T023'],"['Body Part, Organ, or Organ Component']",40298596,pathology_anatomy_present,2
125,pharmacological chaperones,drug,pharmacological chaperones,Pharmacological Chaperone,C2828102,['T120'],['Chemical Viewed Functionally'],39128657,indication,1
126,posterior fossa,anatomy,posterior fossa,posterior fossa,C1116439,['T023'],"['Body Part, Organ, or Organ Component']",39119446,anatomy_disease,1
130,progressive cognitive and motor,phenotype,progressive cognitive and motor,,,[],[],37610133,disease_phenotype_positive,2
131,prominent spongiform brain degeneration,phenotype,prominent spongiform brain degeneration,,,[],[],37610133,disease_phenotype_positive,2
132,psychomotor deficits,phenotype,psychomotor deficits,psychomotor deficit,C2921139,['T033'],['Finding'],39628365,disease_phenotype_positive,2
133,pulvinar,anatomy,pulvinar,Pulvinar structure,C0152347,['T023'],"['Body Part, Organ, or Organ Component']",38880823,anatomy_disease,1
134,pyramidal signs,phenotype,pyramidal signs,Pyramidal sign,C0234132,['T184'],['Sign or Symptom'],34446995,disease_phenotype_positive,2
140,reduced fitness,phenotype,reduced fitness,"Oral device/appliance used to reduce upper airway collapsibility, adjustable or non-adjustable, prefabricated, includes fitting and adjustment",C1616299,['T074'],['Medical Device'],36202930,disease_phenotype_positive,2
141,seizures,phenotype,seizures,Seizures,C0036572,['T184'],['Sign or Symptom'],34446995|36968992|39119446,disease_phenotype_positive,2
142,spongiform leukodystrophy,disease,spongiform leukodystrophy,Canavan Disease,C0206307,['T047'],['Disease or Syndrome'],38544400,disease_disease,1
144,spongy degeneration,phenotype,spongy degeneration,Spongy degeneration,C0333462,['T046'],['Pathologic Function'],35637731,exposure_phenotype,2
145,spongy leukodystrophy,disease,spongy leukodystrophy,,,[],[],38544400,disease_disease,1
147,subcortical white matter,anatomy,subcortical white matter,Subcortical white matter calcifications,C1851430,['T033'],['Finding'],35187608|39119446,anatomy_disease|pathology_anatomy_present,1|2
148,supratentorial white matter,phenotype,supratentorial white matter,Loss of supratentorial white matter,C4748814,['T046'],['Pathologic Function'],34723085,disease_phenotype_positive,2
149,swollen axons,phenotype,swollen axons,,,[],[],38538326,disease_phenotype_positive,2
150,toxic,phenotype,toxic,Toxic effect,C0600688,['T037'],['Injury or Poisoning'],38740822,phenotype_protein,1
152,ubiquitin-proteasome pathway,biological_process,ubiquitin-proteasome pathway,Ubiquitin-Proteasomal Pathway,C1519748,['T044'],['Molecular Function'],38740822,bioprocess_protein,1
153,ultrasound,exposure,ultrasound,ultrasound device,C1875843,['T074'],['Medical Device'],35187608,exposure_disease|exposure_exposure,1|2
154,vacuolar leukodystrophy,disease,vacuolar leukodystrophy,,,[],[],34498299,disease_disease,1
155,vacuolation,phenotype,vacuolation,Vacuolation,C0010840,['T033'],['Finding'],37271923|38538326,disease_phenotype_positive,2
158,visual,phenotype,visual,Visual,C0234621,['T169'],['Functional Concept'],36968992,disease_phenotype_positive,2
159,white matter myelination,phenotype,white matter myelination,Defective myelination of the deep white matter,C4014357,['T033'],['Finding'],37601414,drug_effect,2
