,entity_name,original_entity_types,search_term_used,umls_matched_name,matched_cui,matched_semantic_types,matched_semantic_type_names,PMID,relation,entity_side
32,aav9-hnpc1,,aav9-hnpc1,,,[],[],,,
33,abdominal distension,phenotype,abdominal distension,Distension of abdomen (finding),C5980104,['T033'],['Finding'],36636588|38826605,disease_phenotype_positive|protein_protein,2
34,aberrant mglur5 lysosomal accumulation,,aberrant mglur5 lysosomal accumulation,,,[],[],,,
35,aberrant pattern of interferon activation,phenotype,aberrant pattern of interferon activation,,,[],[],38254990,phenotype_protein,2
36,abiraterone acetate,GRAS/Excipient/prodrug,abiraterone acetate,abiraterone acetate,C2607886,"['T109', 'T121']","['Organic Chemical', 'Pharmacologic Substance']",35159129,drug_effect|indication,1
37,ablated tmem241,,ablated tmem241,,,[],[],,,
38,abnormal accumulation of lipids,phenotype,abnormal accumulation of lipids,,,[],[],37047194,disease_phenotype_positive,2
39,abnormal cholesterol accumulation,phenotype,abnormal cholesterol accumulation,,,[],[],36325261,disease_phenotype_positive,2
40,abnormal endosomal-lysosomal trafficking,,abnormal endosomal-lysosomal trafficking,,,[],[],,,
41,abnormal intracellular lipid storage,phenotype,abnormal intracellular lipid storage,,,[],[],40866990,disease_phenotype_positive,2
42,abnormal involuntary movements,,abnormal involuntary movements,Abnormal involuntary movements,C0392702,['T047'],['Disease or Syndrome'],,,
43,absence of serious adverse events,phenotype,absence of serious adverse events,,,[],[],40701909,drug_effect,2
44,absence of the hyper-glycosylated lysosome-associated membrane protein 1,,absence of the hyper-glycosylated lysosome-associated membrane protein 1,,,[],[],,,
45,acat1-specific inhibitor,,acat1-specific inhibitor,,,[],[],,,
46,accelerates development,phenotype,accelerates development,"personalized target development for accelerated, repetitive high-dose functional connectivity MRI-guided theta-burst stimulation",C5927802,['T061'],['Therapeutic or Preventive Procedure'],35245460,exposure_phenotype,2
47,accumulate multiple bis(monoacylglycero)phosphate species,phenotype,accumulate multiple bis(monoacylglycero)phosphate species,,,[],[],38895439,phenotype_protein,2
48,accumulated unesterified cholesterol,phenotype,accumulated unesterified cholesterol,Intracellular accumulation of unesterified cholesterol,C3553603,['T033'],['Finding'],39173891,disease_phenotype_positive,2
49,accumulating of cholesterol crystals in the lysosome,phenotype,accumulating of cholesterol crystals in the lysosome,,,[],[],34748340,disease_phenotype_positive,2
50,accumulation of autophagosomes,phenotype,accumulation of autophagosomes,Skeletal muscle autophagosome accumulation,C5676640,['T033'],['Finding'],35159316,phenotype_phenotype,2
51,accumulation of cholesterol,pathology | phenotype,accumulation of cholesterol,Cholesterol crystal accumulation,C5436605,['T033'],['Finding'],34175669|36279795|36861884|37210540|37245481|37423302|39518914|39891227|40663813,disease_phenotype_positive|pathology_anatomy_present|phenotype_protein,1|2
52,accumulation of cholesterol and other lipids,phenotype,accumulation of cholesterol and other lipids,,,[],[],34364974,disease_phenotype_positive,2
53,accumulation of cholesterol in late endosome,phenotype,accumulation of cholesterol in late endosome,,,[],[],36861884,phenotype_phenotype,2
54,accumulation of cholesterol in lysosome,phenotype,accumulation of cholesterol in lysosome,,,[],[],36861884,phenotype_phenotype,2
55,accumulation of cholesterol in lysosomes,phenotype,accumulation of cholesterol in lysosomes,,,[],[],37612148,disease_phenotype_positive,2
56,accumulation of fibroblasts,phenotype,accumulation of fibroblasts,Unesterified cholesterol accumulation in cultured fibroblasts,C5937001,['T033'],['Finding'],36804125,disease_phenotype_positive,2
57,accumulation of free cholesterol,phenotype,accumulation of free cholesterol,,,[],[],34810067|35850050|40436106,disease_phenotype_positive|phenotype_protein,1|2
58,accumulation of gangliosides in lysosomes,phenotype,accumulation of gangliosides in lysosomes,Gangliosidoses,C0017083,['T047'],['Disease or Syndrome'],37612148,disease_phenotype_positive,2
59,accumulation of glycosphingolipids,phenotype,accumulation of glycosphingolipids,,,[],[],34810067|40215728,disease_phenotype_positive,2
60,accumulation of gm2 gangliosides,,accumulation of gm2 gangliosides,GM2-ganglioside accumulation,C1848920,['T033'],['Finding'],,,
61,accumulation of gm3 gangliosides,,accumulation of gm3 gangliosides,,,[],[],,,
