,entity1,entity2,entity_type1,entity_type2,Relation,PMID,entity1_status,entity2_status,entity1_suggested_name,entity2_suggested_name,second_search_suggested_name
1001,Cln3,macropinocytosis,protein/gene,biological_process, bioprocess_protein,36640303,in_kg,in_kg,,,
1039,neuroinflammation,neurodegenerative diseases,biological_process,disease,disease_phenotype_positive,36880056,in_kg,in_kg,,,
1041,neurogenesis,neurodegenerative diseases,biological_process,disease,disease_phenotype_positive,36880056,in_kg,in_kg,,,
1042,autophagy,neurodegenerative diseases,biological_process,disease,disease_phenotype_positive,36880056,in_kg,in_kg,,,
1050,neuronal ceroid lipofuscinosis,seizures,disease,phenotype,disease_phenotype_positive,36918063,in_kg,C0036572,,,
1051,neuronal ceroid lipofuscinosis,visual impairment,disease,phenotype,disease_phenotype_positive,36918063,in_kg,in_kg,,,
1065,CLN3,G3BP1,protein/gene,protein/gene,protein_protein,36965618,in_kg,in_kg,,,
1081,hepatocellular carcinoma,CLN3,disease,protein/gene,disease_protein,37014321,in_kg,in_kg,,,
1082,hepatocellular carcinoma,SNRPE,disease,protein/gene,disease_protein,37014321,in_kg,in_kg,,,
1085,cell migration,SNRPE,biological_process,protein/gene,bioprocess_protein,37014321,in_kg,in_kg,,,
1100,neuronal ceroid lipofuscinosis,CLN6,disease,protein/gene,disease_protein,37074398,in_kg,in_kg,,,
1103,neuronal ceroid lipofuscinosis,CLN3,disease,protein/gene,disease_protein,37074398,in_kg,in_kg,,,
1133,spinocerebellar ataxia 34,ELOVL4,disease,protein/gene,disease_protein,37184663,C0087012|C1851481,in_kg,spinocerebellar ataxia,,spinocerebellar ataxia
1135,spinocerebellar ataxia 34,late-onset progressive ataxia,disease,phenotype,disease_phenotype_positive,37184663,C0087012|C1851481,C4518339,spinocerebellar ataxia,sporadic adult-onset ataxia of unknown etiology,entity1:spinocerebellar ataxia|entity2:sporadic adult-onset ataxia of unknown etiology
1136,spinocerebellar ataxia 34,storage lipid accumulation within neuronal lipofuscin,disease,phenotype,disease_phenotype_positive,37184663,C0087012|C1851481,C4023177,spinocerebellar ataxia,Increased cerebral lipofuscin,entity1:spinocerebellar ataxia|entity2:Increased cerebral lipofuscin
1137,lipid storage disease,spinocerebellar ataxia 34,disease,disease,disease_disease,37184663,C0023794|C5848057,C0087012|C1851481,neutral lipid storage disease,spinocerebellar ataxia,entity1:neutral lipid storage disease|entity2:spinocerebellar ataxia
1138,lysosomal storage disorder,neuronal ceroid lipofuscinoses,disease,disease,disease_disease,37209872,C0085078,C0027877|C0751383,lysosomal storage disease,neuronal ceroid lipofuscinosis,entity1:lysosomal storage disease|entity2:neuronal ceroid lipofuscinosis
