,entity_name,original_entity_types,PMID,relation,entity_side
847,neurodegenerative phenotype,phenotype,35605667,drug_effect,2
848,neurodegenerative phenotypes,phenotype,35929194,disease_phenotype_positive,2
850,neurodevelopmental alterations,phenotype,36453132,phenotype_protein,2
851,neurodevelopmental and neurodegenerative disorder,disease,34382076,disease_disease|disease_phenotype_positive|disease_protein,1|2
853,neuroinflammatory trajectory,phenotype,34325129,phenotype_protein,1
859,neuromuscular degeneration,phenotype,40702562,disease_phenotype_positive,2
860,neuronal autofluorescent ceroid-lipofuscin accumulation,phenotype,40686560,disease_phenotype_positive,2
864,neuronal ceroid lipofuscinoses condition,disease,35233790,disease_disease,2
873,neuropathological phenotypes,phenotype,34618685,phenotype_phenotype,2
875,neuroprotective properties,phenotype,37746513,drug_effect,2
883,non-syndromic macular dystrophy,phenotype,39108195,disease_phenotype_positive,2
886,novel lysosomal storage disease,disease,35447247,disease_disease,1
890,ocular phenotype,phenotype,35457110,disease_phenotype_positive,2
891,ombination of at least one severe variant with a moderate one,phenotype,35457110,disease_phenotype_positive,2
892,open reading frame correction,phenotype,37359347,drug_effect,2
897,oxysterol-binding protein inhibitor,drug,40333988,drug_effect,1
914,palmitoyl-protein thioesterase 1 deficiency,phenotype,36876653,disease_protein,2
915,palmitoylation-depalmitoylation cycles,biological_process,38211816,bioprocess_bioprocess,1
920,partially rescued aberrant synaptic calcium dynamics,phenotype,39033629,drug_effect,2
922,pediatric dementia syndrome,disease,37113550,disease_disease,1
923,pediatric rare neurometabolic diseases,disease,36461157,disease_disease,1
924,peripapillary retinal nerve fiber layer degeneration,phenotype,39559345,disease_phenotype_positive,2
934,photoreceptor outer segment phagocytosis defect,biological_process,39535788,bioprocess_protein,2
935,photoreceptor to bipolar synaptic defects,phenotype,36374771,disease_phenotype_positive,2
936,photosensitivity at low and higher frequencies,phenotype,39718800,disease_phenotype_positive,2
941,pigment-containing macrophages,pathology,34679057,pathology_anatomy_present,1
942,plants demonstrating reduced astrocyte activation,drug,36880056,drug_effect,1
943,plants with anti-neuro-inflammatory action,drug,36880056,drug_effect,1
945,postural vertical nystagmus,phenotype,34679057,disease_phenotype_positive,2
957,premature death in adolescence,phenotype,37329878,disease_phenotype_positive,2
958,prevent language decline,phenotype,37926545,drug_effect,2
959,prevent motor decline,phenotype,37926545,drug_effect,2
960,prevented bowel distention,phenotype,39975385,drug_effect,2
961,prevented bowel transit defect,phenotype,39813314,drug_effect,2
962,prevented tremors,phenotype,37932327,drug_effect,2
963,prevented vesicle trafficking,phenotype,34188051,phenotype_protein,1
968,progranulin deficiency,molecular_function | phenotype | protein/gene,37120788|37131734|38696065,disease_phenotype_positive|disease_protein|phenotype_protein,1|2
969,progranulin insufficiency,phenotype,35241513,bioprocess_phenotype,2
971,progressive atrophy of the outer retinal layers,phenotype,35256654,disease_phenotype_positive,2
972,progressive brain deterioration,phenotype,34313725,disease_phenotype_positive,2
977,progressive deterioration of cognitive abilities,phenotype,36369162,disease_phenotype_positive,2
979,progressive gait abnormality,phenotype,34679057,disease_phenotype_positive,2
981,progressive global brain atrophy,phenotype,35427439,disease_phenotype_positive,2
990,progressive neurological decline,phenotype,34216614,disease_phenotype_positive,2
993,progressive psychomotor developmental retardation,phenotype,35628400,disease_phenotype_positive,2
994,progressive regionally defined glial activation,phenotype,35404973,disease_phenotype_positive,2
996,progressive retinal deterioration,phenotype,34313725,disease_phenotype_positive,2
998,prominent retinal,phenotype,35929194,disease_phenotype_positive,2
999,prominent storage body accumulation,phenotype,35404973,disease_phenotype_positive,2
1012,psychomotor behavioral outcomes,pathology,36369162,disease_phenotype_positive,2
1017,rapid degeneration of the caudate nucleus,phenotype,36632184,disease_phenotype_positive,2
1021,reduce neurological disease burden,phenotype,40501755,drug_effect,2
1023,reduced astroglial activation,biological_process,36697260,drug_bioprocess,2
1024,reduced attenuated reactive astrogliosis,phenotype,34214607,drug_effect,2
1027,reduced cell viability,biological_process,40678187,exposure_bioprocess,2
1029,reduced disease-associated pathology,phenotype,36040802,exposure_phenotype,2
1030,reduced enzymatic activity,biological_process,40507848,bioprocess_protein,2
1031,reduced gliosis,phenotype,34214607,drug_effect,2
1032,reduced lifespans,phenotype,36282524,phenotype_protein,1
1033,reduced lysosomal autofluorescent storage material accumulation,phenotype,39033629,drug_effect,2
1034,reduced lysosomal globotriaosylceramide accumulation,biological_process,39080379,bioprocess_bioprocess,2
1035,reduced lysosomal glycerophosphodiester accumulation,biological_process,39080379,bioprocess_bioprocess,2
1037,reduced lysosomal storage material,phenotype,37790379,drug_effect,2
1039,reduced microglial activation,biological_process,36697260,drug_bioprocess,2
1040,reduced neurodegeneration,phenotype,34214607,drug_effect,2
1041,reduced neuroinflammation,phenotype,37790379|39033629|39364042,drug_effect,2
1042,reduced neurological decline,phenotype,37329878,drug_effect,2
1043,reduced oxidative stress,biological_process,39364042,drug_effect,2
1044,reduced pain threshold,phenotype,37771451,disease_phenotype_positive|phenotype_phenotype,2
1045,reduced pain-related neuropeptides,protein/gene,38368171,drug_effect,2
1046,reduced patellar reflex,phenotype,34679057,disease_phenotype_positive,2
1047,reduced photoreceptor outer segment binding,biological_process,38895469,bioprocess_protein,2
1050,reduced retinal dysfunction,phenotype,40501755,drug_effect,2
1053,reduced scotopic and photopic electroretinographic waveforms,phenotype,34532411,phenotype_protein,2
1055,reduced strength during walking,phenotype,35605667,disease_phenotype_positive,2
1057,reduced the mitochondrial reactive oxygen spices,phenotype,35681535,drug_effect,2
